pokemon,number_of_battles,Raw count,Items_petayaberry,Items_grepaberry,Items_scopelens,Items_chopleberry,Items_salacberry,Items_floatstone,Items_rockyhelmet,Items_magoberry,Items_figyberry,Items_focussash,Items_oranberry,Items_poisonmemory,Items_miracleseed,Items_toxicorb,Items_absorbbulb,Items_wikiberry,Items_chestoberry,Items_electricseed,Items_assaultvest,Items_laggingtail,Items_lifeorb,Items_stickybarb,Items_ganlonberry,Items_expertbelt,Items_aguavberry,Items_ironball,Items_cobaberry,Items_weaknesspolicy,Items_kingsrock,Items_adrenalineorb,Items_damprock,Items_heavydutyboots,Items_choicescarf,Items_choicespecs,Items_widelens,Items_razorclaw,Items_nevermeltice,Items_leftovers,Items_mentalherb,Items_powerherb,Items_redcard,Items_quickclaw,Items_twistedspoon,Items_wiseglasses,Items_nothing,Items_silkscarf,Items_eviolite,Items_babiriberry,Items_ringtarget,Items_metronome,Items_liechiberry,Items_blacksludge,Items_roomservice,Items_blunderpolicy,Items_laxincense,Items_magnet,Items_sitrusberry,Items_lumberry,Items_iapapaberry,Items_flameorb,Items_throatspray,Items_brightpowder,Items_shellbell,Items_custapberry,Items_choiceband,Items_normalgem,Items_wacanberry,Items_safetygoggles,Items_psychicseed,Items_lansatberry,Items_yacheberry,Items_grassyseed,Items_jabocaberry,Items_flyingmemory,Items_protectivepads,Items_sharpbeak,Items_blackglasses,Items_apicotberry,Items_rowapberry,Items_roseliberry,Items_heatrock,Items_keeberry,Items_heavyball,Items_shedshell,Items_pechaberry,Items_colburberry,Items_thickclub,Items_softsand,Items_rockmemory,Items_habanberry,Items_whiteherb,Items_rockincense,Items_marangaberry,Items_ejectbutton,Items_chartiberry,Items_lightclay,Items_cellbattery,Items_lovesweet,Items_airballoon,Items_bigroot,Items_ejectpack,Items_machobrace,Items_mistyseed,Items_starfberry,Items_focusband,Items_enigmaberry,Items_metalcoat,Items_leppaberry,Items_zoomlens,Items_powerbracer,Items_terrainextender,Items_muscleband,Items_kasibberry,Items_shucaberry,Items_mysticwater,Items_smoothrock,Items_fullincense,Items_occaberry,Items_blackbelt,Items_silverpowder,Items_burndrive,Items_berryjuice,Items_passhoberry,Items_tangaberry,Items_firememory,Items_roseincense,Items_luminousmoss,Items_cheriberry,Items_poisonbarb,Items_gripclaw,Items_bindingband,Items_charcoal,Items_bugmemory,Items_utilityumbrella,Items_masterball,Items_goldbottlecap,Items_payapaberry,Items_aspearberry,Items_persimberry,Items_hardstone,Items_fairymemory,Items_lightball,Items_electricmemory,Items_oddincense,Items_pixieplate,Items_chilanberry,Items_electirizer,Items_healball,Items_energypowder,Items_sunstone,Items_dragonfang,Items_levelball,Items_dragonmemory,Items_rawstberry,Items_darkmemory,Items_psychicmemory,Items_icestone,Items_icyrock,Items_rindoberry,Items_seaincense,Items_waveincense,Items_cloversweet,Items_waterstone,Items_diveball,Items_watermemory,Items_powerband,Items_kebiaberry,Items_ghostmemory,Items_berrysweet,Items_ultraball,Items_duskstone,Items_spelltag,Items_powerlens,Items_ribbonsweet,Items_luxuryball,Items_moonball,Items_fightingmemory,Items_fossilizedbird,Items_ovalstone,Items_beastball,Items_adamantorb,Items_poweranklet,Items_leek,Items_tr43,Items_greatball,Items_snowball,Items_firestone,Items_tr89,Items_tr75,Items_grassmemory,Items_reapercloth,Items_dragonscale,Items_leafstone,Items_icememory,Items_rustedshield,Items_groundmemory,Items_steelmemory,Items_lustrousorb,Items_chippedpot,Items_deepseatooth,Items_tr28,Items_galaricacuff,Items_griseousorb,Items_loveball,Items_thunderstone,Items_blukberry,Items_tamatoberry,Items_kelpsyberry,Items_tr99,Items_powerweight,Items_netball,Items_prismscale,Items_quickball,Items_moonstone,Items_micleberry,Items_rarebone,Items_upgrade,Items_tr42,Items_quickpowder,Items_metalpowder,Items_dousedrive,Items_sachet,Items_fossilizeddino,Items_friendball,Items_powerbelt,Items_dreamball,Items_souldew,Items_crackedpot,Items_pokeball,Items_starsweet,Items_rustedsword,Items_nestball,Items_chilldrive,Items_flowersweet,Items_pomegberry,Items_dawnstone,Items_fastball,Items_bottlecap,Items_parkball,Items_safariball,Items_premierball,Items_magmarizer,Items_protector,Items_shinystone,Items_tr90,Items_destinyknot,Items_whippeddream,Items_fossilizeddrake,Items_shockdrive,Items_sweetapple,Items_cherishball,Items_dubiousdisc,Items_tr55,Items_tr98,Items_tr03,Items_tr13,Items_tr69,Items_strawberrysweet,Items_tr68,Items_hondewberry,Items_deepseascale,Items_pinapberry,Items_tr00,Items_fossilizedfish,Items_tr56,Items_tr71,Items_tr04,Items_tr34,Items_timerball,Items_tr38,Items_qualotberry,Items_duskball,Items_tr02,Items_repeatball,Items_tr26,Items_tr87,Items_tr59,Items_tr01,Items_tr10,Items_tr14,Items_tr72,Items_tartapple,Items_tr80,Items_tr24,Items_tr08
Arcanine,1628081,34769,,,0.0,,1.83438e-05,,0.0959916456,1.97746e-05,0.0003388065,0.0001728356,,,,0.0,0.0,3.88301e-05,6.93081e-05,,0.1170609577,,0.1282527354,0.0,,0.3760129925,0.0189581752,,,0.0007954103,0.0,0.0,,0.8096384651,0.0204390505,0.0026653943,0.0,0.0,,0.0877309691,0.0,0.0001980854,2.69e-08,0.0003767055,,8e-07,0.0160994802,2.083e-07,8.04e-07,,,2.26e-08,8.18429e-05,,0.0,0.0,0.0,0.0,0.0396438246,7.44771e-05,0.0015904794,0.0,0.0,,0.0005550202,,0.1335759299,,,0.0022806754,,0.0,0.0,,,,0.0,,1e-10,,,,1.1632e-06,0.0,,,,,,,,,0.0,0.0,,,,,,,0.0066988747,,0.0,,0.0,,0.0,0.0,,,,,,2.11295e-05,,0.0004012117,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,0.0,1e-09,0.0009387496,,1.4359e-06,,,,,5.048e-06,,,,,,,,,,,,7.697e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.302e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omastar,1628081,12616,0.0,,0.0,,,,0.0,3.706e-07,,7.4521766934,,,,,,0.0,0.0002546548,,2.8836e-06,,0.0096861646,,,0.0,0.0,,,2.85e-08,,,1.3271e-06,0.0160404899,1.5017e-05,0.0224595165,,,0.0,0.0004430397,0.0,28.7661134163,0.0,0.0,,,0.0,,,,,,,,,0.0,,,0.0,0.0001081651,,,,0.0,0.0,,1.66e-08,5.994e-07,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0327044752,,,,,,,,9e-10,,0.0,,,,,,,,,,,,,0.0,8.51e-08,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsola-Galar,1628081,27390,1.76724e-05,,,,,,4.037e-06,,0.0,0.0031560165,,,,,,,,,0.0,,0.0,,,0.0,8.1e-09,,,0.0,,,,,,0.0,,,,0.0026044019,,,,,,,0.0003911496,,2.6866701036,,,,0.0,,,,,,0.0,,0.0,4.935e-07,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,7.37e-08,,,,,,,,,,8.3253e-06,,,,7.38e-08,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyukumuku,1628081,11724,,,,,,,0.7606893058,0.0,,6e-09,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.1664113038,,,0.0,,,0.0003956699,0.4034527007,0.0,,,,,1.2654881017,1.305e-07,,0.0,0.0,,,1.98585e-05,,0.0,,,,,0.0,,0.0,,,0.011101864,5.5059e-06,0.0003324891,0.0,,0.0,0.0,9.216e-06,,,0.0,0.0,,,,,0.0,,,,,,7.55e-08,,,0.0,,0.0,8.8e-08,,,,,,,,0.0,,,0.0087682508,0.0,,,,,,,,0.0,,,0.0375883444,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victini,1628081,89088,,,0.0,,2.63666e-05,,3e-10,3e-09,0.0,0.0058979662,,,,0.0,3.69355e-05,0.0027542059,0.0326929803,0.0,0.3592031401,0.0,0.4230988912,,,0.2281318563,0.0051295135,0.0006437186,,0.048454369,0.0,0.0,,74.7492448395,33.1086350445,1.2141527415,0.0014932609,9.25e-07,,0.4262565536,3.87e-07,0.0001794791,0.0,0.0008990521,0.0,8.46168e-05,0.0025143362,,2.31927e-05,,6.0988880095,3e-10,4e-10,,0.011061787,0.0002724671,0.0,0.0,7.8e-09,2.63e-08,2.44061e-05,8.55799e-05,,0.0,0.0360471237,,25.7323698774,,,0.0,,,,,,,,,,,,,0.0,,,,,0.1268267236,,,,,0.0061289363,,,0.0,,0.0,,,0.0009691478,,0.0003988357,,,,0.0001023703,,,0.0,0.0,,,0.0,,0.0031532876,,,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0003369571,,,0.0,,,,,0.0,,,,0.0,,,,7.4e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e-10,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004563433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cofagrigus,1628081,9786,,,,,,,0.2273563974,0.0,0.0,0.001010649,,,,0.0,,0.0,0.0138714258,,0.0020759601,,6e-10,0.0,0.0,0.0,1.19e-08,0.0,,6.2111e-06,0.0005792635,,0.0,0.0,0.0002175784,2.19487e-05,,,,0.1118900044,0.0002121224,1.62e-08,0.0016937049,1e-10,,0.0,0.0006472642,,0.0008321758,,0.0,,,,0.0,,,,0.0147818881,0.0002887279,0.0,0.0011588163,,0.0,,8e-10,0.0,,,1.06854e-05,,,,0.119794399,,,,,,,0.0,,,0.0,,,0.0,0.1131375118,,,,,,,,0.0015239764,,,,,0.0,,,,,,,,,,9.7e-09,,,,0.015972119,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venusaur,1628081,78565,0.0,,0.0,,0.0096164478,,0.0288347264,0.0,0.0002534826,0.0221373003,0.0,0.0,0.0006319453,1.0974e-06,0.0,6.90747e-05,0.0007866611,0.0,0.0111187163,,17.8333526787,,,0.0004507278,0.0053716182,,0.0002417656,0.0004071135,,0.0,,0.0005934326,0.0013728753,0.0433449482,0.0108712949,,,0.2038758685,1.5e-08,9.906e-07,1.653e-07,0.0002518132,0.0,0.0563381664,0.0022599489,,8.07426e-05,,0.0,0.0,,4.2032371191,,0.0,0.0,,0.0043654569,0.0026409319,1.5279e-06,0.0,,0.0,0.0,,0.012604788,,,0.0,0.0,,0.0,1e-10,,,0.0,,2.066e-07,0.0,,,0.0125041306,,,,,0.0018992802,,0.0,,,0.0018036914,,,0.0,,0.0046863432,,,0.0,0.000912134,0.0,,,,0.0,,,,0.0001095932,,7.9e-09,0.0,,,,,,0.0026277256,0.0,,,3.29155e-05,,,,0.0,0.0,,0.000247094,,,6.2e-09,,,0.0,,0.0026264774,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,4.9308e-05,0.0,,,,,,,,,,,,,,,,,,,,0.0012051331,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,9e-10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrafty,1628081,11137,,,,0.0165580344,2.0979e-06,0.0,5.89734e-05,,0.0026085795,0.002302514,,,,,,,7e-09,0.0,0.0249381264,,0.0125607543,,,5.196e-05,0.024421592,,0.0,0.0,4.0664e-06,,,0.0027264425,8.3469e-06,0.0,0.0,0.0,,1.4214847203,0.0,,,0.0,,,0.002020885,,3.73162e-05,,,,0.0,,,0.0,0.0,,0.001018637,0.0133945901,6.2256e-06,,,,0.0356202329,0.0,0.0040866895,,,,0.0,,,0.0,,,0.0,,0.0,,,3.8923e-06,,0.0,,0.0,0.0,,,,,,0.0,,,0.0,,,,,,1.006e-07,,,0.0,,4.4e-09,,,,0.0,,,0.0,,,,,,,0.0112039657,,,2.2e-09,,,,,,,,,,,,,,,,,4.02648e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnezone,1628081,131225,0.0046515598,,,4.7799052402,3.5e-09,,0.0006686018,0.0,1.71927e-05,0.0036760816,0.0,,,0.0,,0.0014584806,0.0,2.064e-07,3.57689129,0.0004703777,0.0006865262,,0.0,3.2322866697,0.0066535842,0.0,,0.0001358148,,0.0,0.0,0.2041912908,6.3781821437,77.7120009209,,,,299.0567131601,,0.0,0.0068496991,6.12352e-05,,1.5e-09,0.0062958906,0.0,0.0,,0.0,0.0008606223,0.0,,,0.0018565343,,0.732012427,1.8917e-06,0.0003522723,1e-10,4.05e-08,0.0056952607,0.0,0.0013866699,0.7968076532,2e-10,2.9984e-06,,0.0,,,,0.0217647358,,,0.0329220616,,,,,,,0.0,,0.0,,0.0,,,,,,,,2e-10,0.0,1.6462534079,0.0,,4.4541665438,,,0.0,,0.0,0.0009368488,,5.71493e-05,0.0,1.68398e-05,,0.0,3.6868e-06,,0.5411774724,,,2.87477e-05,0.0,0.0,,,4.196e-07,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volcanion,1628081,46401,0.0,,2.047e-07,,0.0,,0.0009922664,5.857e-07,1.6455e-06,0.0206888014,0.0,,,0.0,0.0,0.0264043483,0.0,,0.4177380923,,0.1036955862,,,0.0033080425,0.0005381829,0.0,,0.0167298731,3.62e-08,0.0,,7.9204772432,0.3542630533,3.3199115258,2.381e-07,0.0,,1.8569257621,0.0,0.0008208263,0.0,0.0,,2.48328e-05,6.5084e-05,,5.746e-07,,,7.93e-08,,,0.0,2.20381e-05,7.5e-09,,0.0,0.0,4.58e-08,0.0,,2.552e-07,0.0,0.0001972867,3.3705e-05,0.0,0.0054995673,2.4851e-06,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,0.2882117099,,,,,,1e-08,0.000862002,,,,,,0.0,,0.0078944995,0.0031284705,0.0,,0.0,,,,0.0,,,,,0.0,,,0.0,,4.09e-08,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,1.26909e-05,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,1.209e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhyperior,1628081,40734,,,1.24e-08,6.511e-07,0.0,0.0,0.0213984115,0.0,0.0002775049,0.137956779,2.4488e-06,,,0.0,0.0,0.0,0.0,,0.0173261484,,0.1640164418,,,4.20083e-05,0.001223105,0.0022673368,,0.2937831497,0.0,0.0,0.0,1.0451e-06,0.0010204398,0.0,2.4299e-06,0.0,,13.0849164701,0.0,0.0002809945,0.0,5.70616e-05,,,6.87302e-05,,0.0,0.0,,0.0,,,,0.0008082039,,,3.38845e-05,3.08617e-05,0.0,,,0.0,1.0429e-06,1.8278e-06,1.9840955341,,,,,,0.0,0.0,,,,,,,0.0,,0.0,,,,,,,0.0019670691,,,,1e-10,,0.0,,,0.0,,2.92621e-05,,,,,,,2.524e-07,,,0.0,,,2.86e-06,,0.0,,6e-10,,,0.0,0.095438379,,,0.0016236911,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,2.1584984978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latios,1628081,200370,0.0,,3.8e-09,,2.9897e-06,0.0,0.0006992639,0.0011131203,0.0010604136,0.0167702353,0.0,,,7.4699e-06,0.0,0.0016424287,5.3e-09,5.144e-07,0.0386594479,0.0001722576,26.9413095178,0.0,0.0,1.1302179185,0.0074281916,0.0,,0.6095198842,0.0,0.0,0.0002166148,0.0069806121,23.9614989902,37.835275529,1.82636e-05,0.0,,2.1411942047,0.002783047,1e-10,0.0,0.0,0.0105406026,0.0030644351,0.0035067613,,4.3028e-06,,0.0069361997,0.7099168487,,0.0,,0.0,3e-10,,1.51867e-05,0.0713748372,0.0008819407,4.743e-07,,0.0,5e-10,0.0,0.0008760985,,,0.0,5.3e-09,0.0,0.0,0.0541351635,,0.0,,,,,,0.0,0.0,0.0,,,,0.2872824743,,,,0.0,0.001640223,,,0.0001442984,,0.161556996,,,0.0,,0.3087406983,0.0,0.0,,0.0,,,,0.0,,,1.34708e-05,2.706e-07,,,0.0855684258,,,3.661e-07,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,,,0.0,,,0.0,,0.0,,,,,,,0.0015593654,,0.0,,,,,,,1.32173e-05,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2761438774,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durant,1628081,10486,,,0.0047004102,,0.0004086832,,1.7045e-06,,3e-10,0.113722124,,,,0.001381197,,,0.0003706297,,1.36e-08,,0.759868409,0.0,,0.0002400872,4.96761e-05,,,0.0,0.0001537686,0.0,,0.0061374616,0.037044429,,4.4182e-06,0.0,,0.0090819884,0.0,,0.0,1.98e-08,,,0.0,,,,,3.828e-07,,,,3.11244e-05,,,1.6379e-06,0.0,0.0,0.0,,,0.0,,0.1955458035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003387418,,,,,0.0,,,,,0.0,1e-10,,0.0011218292,,0.0,,,0.0,,,,,,0.0002027165,0.0,0.0,,2.5539e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1.07e-08,,,,,4.551e-06,,,,,,,,,,,,,,,,,,,,,,,0.0008838582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapu Bulu,1628081,32720,0.0,,,0.0,0.0011507503,,0.0401785605,8.342e-07,0.00084359,0.0006625189,,,0.4487091256,,0.0,0.0,0.0,,0.9935454053,,12.1522510076,,,4.7597e-06,0.002015416,0.0,0.0113561931,0.0002824606,,0.0,,2.2104913569,0.2374076366,0.0003406144,0.0,,,8.271710412,1e-10,2.521e-07,3.21916e-05,2.581e-07,,0.0012054364,2.23117e-05,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0020627452,0.0,,,,4.03539e-05,0.0001229693,1.9956166023,,,0.0,,,0.0,0.0014664648,,,0.0656434334,,2.18e-08,0.0,,,,,,,0.0,0.0,,,,,0.0,,,0.0,,0.0256696328,,,,0.0123109667,0.0003755267,,,,,,,,0.0,,1.9447071478,0.0,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,3.24119e-05,,,,,,,,0.0738657429,,,,,,,,,,,,,,,,,,,,,,,5.516e-06,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incineroar,1628081,47079,,,0.039898806,2.7e-09,1.86016e-05,,0.0666268416,0.0008290046,0.0282919242,0.0035572189,0.0,,,4.5e-09,,5.9773e-06,0.0,0.0,0.2291951732,,0.0585018911,0.0,,0.0216693116,0.0465794556,0.0,,1.0337113086,0.0,0.0,,23.1901776825,0.0283627904,0.0034930634,2.3e-09,0.0002819816,0.0,0.1350893914,0.0,1.0045e-06,0.0007177062,0.0,,,0.0004581575,0.0,1.5592e-06,0.0,,0.0,0.0017137902,,0.0,0.0004279968,,0.0,0.1689438703,0.0,0.0428026955,8.28373e-05,,,8.88251e-05,5.53014e-05,0.2805838937,0.0,,0.0044509896,,,,0.0,,,8.4718e-06,,5.18227e-05,,,,0.0,0.0,,,,,,,,,2e-10,,,0.0006210668,0.0,,,,0.0023532202,2.4282e-06,,,0.0,,0.0,,,,,,,2.25454e-05,,2.98879e-05,,,,,0.0,,,,0.0024662026,,2.55297e-05,,,,,,,0.000339579,,0.0,,,,,,,,,,,,,,0.0,8.89e-08,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moltres-Galar,1628081,38380,0.006887026,,0.0,0.0,0.2380746739,,1.1887e-06,7.80916e-05,0.0,0.0343152921,,,,0.0,0.0,0.0,0.0465061934,1e-10,0.0317523735,,0.0934145682,,0.0,0.0004325641,0.0249086798,,,2.1233562558,0.0011710915,0.0,,52.5227086371,0.1136321299,0.0059034859,7.441e-07,0.0,,0.3477545093,0.0,0.0,0.0002023296,0.0,,3.4e-09,0.0001108313,,0.0,,,0.0812287029,,,,0.0021121843,,3.0452e-05,0.0638601566,0.0068258796,0.0122949832,0.0,2.29e-08,0.0,1e-10,0.0,0.001331902,,0.0,0.0,0.0,,,5.8e-09,,0.0,,2.3904e-06,0.1096056038,,,5.46919e-05,,0.0,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0005169945,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0005601003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Araquanid,1628081,23721,,,,,0.0,,0.0020090095,0.0003952102,4e-09,0.760940788,,,,,0.0,0.0,0.0001110381,0.0,0.0637628876,,0.0029218276,,0.0,2.3483e-06,0.0002053623,,0.0,0.0,0.0,8e-10,1.931e-06,1.6250803497,0.0015921644,5.265e-07,,0.0,0.0,0.4853329585,0.0001830151,,7.4e-09,1e-10,,0.0,0.0002561598,,0.0,,,6.96792e-05,,,,,,,0.0023409707,2.8e-09,7.04517e-05,0.0,0.0,2.233e-07,2.3e-09,0.0,0.2947044194,,3.87e-08,,,1e-10,,0.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,0.0001977842,,,0.0601976909,,,,,,,,,,,,0.0,,0.0,7.9e-08,0.0,,7.85025e-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.28e-08,4.02531e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moltres,1628081,139594,0.0,,3e-10,,6.7e-09,,0.0040653999,4.36967e-05,0.0,0.0052673186,,,,,1.038e-07,0.0002665785,0.0,0.0,0.0339519411,,0.0846587295,0.0,,0.0020246804,0.0220535084,,,7.5369e-06,5.7864e-06,0.0,7.112e-07,69.0802533261,0.0266481927,0.2538711371,0.0004689899,0.0026970734,,0.1448498276,0.0001652347,0.0006187627,0.0,3.15e-08,,3.31975e-05,0.0186794496,,0.0003887185,,0.0,1.2866e-06,,,,1.16e-08,,,0.0688430413,0.0,0.0001126414,6.4212e-06,,,0.0,,0.0010776742,,0.0,3.8e-09,,,,,,0.0,,0.0043757419,0.0,0.0,,,1.81796e-05,0.0,0.0078904829,1.132e-07,0.0,,,,,0.0,0.0,,,0.0,0.0001781011,0.0,5.386e-05,,0.0,,0.0,,,,0.0,,,0.0,1.2503e-06,,0.0,,,,,,,,,,,0.0,0.0,,1.32487e-05,,,,,,0.0,0.0039975759,,0.0,0.0001415426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,1.7e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloyster,1628081,108551,,,4.3e-09,0.0,2.6e-09,,0.006481957,0.0,0.0117718878,26.320918697,,,,,,0.0,0.0039608011,,0.0017427954,,0.7540645994,2.4552e-06,0.0,0.0006459065,0.0046734548,,,0.1014425798,110.0962836751,0.0,0.0,0.9676419688,0.0319743414,2.0777e-06,5.2e-09,0.0,0.0137583318,0.0110213876,0.01705919,0.0725612625,0.0004160734,0.0,,,1.82467e-05,2.37e-08,6.532e-07,,,0.0001250646,0.0,,,3.14402e-05,,,0.0001475708,0.0020875393,2.481e-07,,0.0,6e-09,4.9239e-06,0.0,0.0171496861,0.3651525669,0.0,2e-10,,,,,,,,,0.0,,,,,0.0,,7.05626e-05,0.0,,,,,,0.5862873531,,0.0,0.0,,3.1e-09,0.0,,0.0,,2.9296e-06,,,,1.65245e-05,,,,,,,1e-10,,,6.0585e-06,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,1.26e-08,,,0.0001443083,,,,,,,,,,,,,,,0.0015919525,5e-10,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
