pokemon,number_of_battles,Raw count,Items_scopelens,Items_safetygoggles,Items_psychicseed,Items_petayaberry,Items_chopleberry,Items_floatstone,Items_focussash,Items_magoberry,Items_figyberry,Items_zoomlens,Items_razorclaw,Items_toxicorb,Items_wikiberry,Items_ultraball,Items_twistedspoon,Items_airballoon,Items_assaultvest,Items_lifeorb,Items_blackglasses,Items_stickybarb,Items_expertbelt,Items_aguavberry,Items_absorbbulb,Items_adrenalineorb,Items_weaknesspolicy,Items_utilityumbrella,Items_kingsrock,Items_ironball,Items_heavydutyboots,Items_powerherb,Items_choicespecs,Items_widelens,Items_rockyhelmet,Items_leftovers,Items_mentalherb,Items_choicescarf,Items_redcard,Items_quickclaw,Items_berryjuice,Items_laggingtail,Items_wiseglasses,Items_ejectpack,Items_nothing,Items_focusband,Items_enigmaberry,Items_silkscarf,Items_eviolite,Items_keeberry,Items_ringtarget,Items_ejectbutton,Items_metronome,Items_liechiberry,Items_blacksludge,Items_roomservice,Items_blunderpolicy,Items_sitrusberry,Items_choiceband,Items_lumberry,Items_iapapaberry,Items_flameorb,Items_throatspray,Items_brightpowder,Items_shellbell,Items_custapberry,Items_salacberry,Items_normalgem,Items_wacanberry,Items_leafstone,Items_oranberry,Items_flyingmemory,Items_apicotberry,Items_chestoberry,Items_grassyseed,Items_ganlonberry,Items_roseliberry,Items_heatrock,Items_sharpbeak,Items_heavyball,Items_damprock,Items_mistyseed,Items_darkmemory,Items_pechaberry,Items_cellbattery,Items_lightclay,Items_softsand,Items_whiteherb,Items_rockincense,Items_marangaberry,Items_diveball,Items_chartiberry,Items_metalcoat,Items_shucaberry,Items_blackbelt,Items_colburberry,Items_terrainextender,Items_muscleband,Items_kasibberry,Items_powerbracer,Items_machobrace,Items_smoothrock,Items_laxincense,Items_occaberry,Items_powerweight,Items_rockmemory,Items_micleberry,Items_silverpowder,Items_oddincense,Items_firestone,Items_passhoberry,Items_dragonfang,Items_firememory,Items_roseincense,Items_cheriberry,Items_jabocaberry,Items_electricseed,Items_bindingband,Items_charcoal,Items_gripclaw,Items_bugmemory,Items_beastball,Items_miracleseed,Items_bigroot,Items_lansatberry,Items_poweranklet,Items_aspearberry,Items_fullincense,Items_cobaberry,Items_mysticwater,Items_lightball,Items_energypowder,Items_poisonbarb,Items_psychicmemory,Items_electricmemory,Items_starfberry,Items_greatball,Items_babiriberry,Items_magnet,Items_yacheberry,Items_protectivepads,Items_powerbelt,Items_payapaberry,Items_shedshell,Items_blukberry,Items_poisonmemory,Items_spelltag,Items_griseousorb,Items_luminousmoss,Items_persimberry,Items_hardstone,Items_habanberry,Items_fossilizeddino,Items_fightingmemory,Items_quickball,Items_rowapberry,Items_cherishball,Items_rawstberry,Items_tamatoberry,Items_shinystone,Items_leppaberry,Items_moonstone,Items_icememory,Items_nevermeltice,Items_icestone,Items_icyrock,Items_adamantorb,Items_masterball,Items_upgrade,Items_pixieplate,Items_snowball,Items_rindoberry,Items_seaincense,Items_waveincense,Items_deepseatooth,Items_waterstone,Items_loveball,Items_chilanberry,Items_tr93,Items_kebiaberry,Items_safariball,Items_ghostmemory,Items_fairymemory,Items_destinyknot,Items_grepaberry,Items_levelball,Items_cloversweet,Items_fossilizedfish,Items_starsweet,Items_fastball,Items_berrysweet,Items_tr68,Items_powerband,Items_tangaberry,Items_dragonmemory,Items_premierball,Items_powerlens,Items_dawnstone,Items_steelmemory,Items_leek,Items_whippeddream,Items_tr47,Items_burndrive,Items_dragonscale,Items_reapercloth,Items_pinapberry,Items_qualotberry,Items_groundmemory,Items_prismscale,Items_tr84,Items_tr71,Items_galaricacuff,Items_deepseascale,Items_goldbottlecap,Items_tr66,Items_fossilizeddrake,Items_grassmemory,Items_tr09,Items_duskball,Items_electirizer,Items_kelpsyberry,Items_rustedshield,Items_watermemory,Items_quickpowder,Items_metalpowder,Items_healball,Items_thickclub,Items_ovalstone,Items_rarebone,Items_parkball,Items_tr60,Items_souldew,Items_lureball,Items_sachet,Items_protector,Items_shockdrive,Items_crackedpot,Items_tr97,Items_lustrousorb,Items_rustedsword,Items_luxuryball,Items_bottlecap,Items_hondewberry,Items_tr86,Items_magmarizer,Items_fossilizedbird,Items_tr61,Items_pokeball,Items_flowersweet,Items_tr65,Items_chippedpot,Items_dousedrive,Items_tr02,Items_tr99,Items_duskstone,Items_tr69,Items_tr91,Items_strawberrysweet,Items_sweetapple,Items_tr00,Items_dubiousdisc,Items_nestball,Items_pomegberry,Items_thunderstone,Items_tr07,Items_tr74,Items_tr43,Items_tr03,Items_tr27,Items_repeatball,Items_sportball,Items_dreamball,Items_moonball,Items_tr72,Items_tr96,Items_lovesweet,Items_tr54,Items_tr56,Items_tr92,Items_tartapple,Items_sunstone,Items_tr94,Items_tr67,Items_netball,Items_tr05,Items_tr87,Items_tr59,Items_tr36,Items_tr04,Items_tr39,Items_tr26,Items_tr33,Items_tr06,Items_tr51,Items_timerball,Items_tr16,Items_tr64,Items_chilldrive,Items_tr76
Scolipede,1804169,25484,0.0,0.0,,,0.0,,1.8616883448,0.007066244,2.465e-07,0.0,,,1.381e-05,,,0.0003164567,0.0116673108,12.3238211929,2e-09,,0.1447406205,0.006219156,0.0,,9.4508e-06,,1.75768e-05,,4.7989361835,0.0,0.0,0.0003976113,0.0125691537,0.03960303,2.93888e-05,0.000411775,0.0,,0.0009284136,,,0.0,0.0023522796,,,,4.87779e-05,,,,3.8514e-05,3.00852e-05,0.5329326891,,8.73256e-05,0.0071606185,0.0058704291,2.27565e-05,0.0004542367,,,0.0,3e-10,,0.0004303973,0.0,,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,5.87189e-05,2.05e-08,,,,8.02e-08,3.526e-07,,,,0.0007605583,,,,,,,,0.0,1.61e-08,,,,,,,,0.0,,,,1.09e-08,2.32e-07,,,3.5626e-06,,,,,0.0,,,7.94291e-05,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aggron,1804169,18074,0.0,,,,0.0001818418,0.0,0.0070059906,5.82437e-05,8.19456e-05,1.39e-07,3.0503e-06,,4.194e-07,,,0.000880198,0.0221658477,0.0545028908,0.0,,0.0024778615,0.0009991355,0.0,,0.4654902172,,1.86e-08,0.0,0.0031714793,0.0039865596,1.12612e-05,0.0006324134,0.040301355,0.0520687488,0.0,0.0408345599,0.0,0.0003505112,1.41e-08,,,,0.0003166634,0.0,0.0,7.581e-07,1.655e-07,,,0.0,5.9e-09,2.298e-06,,0.0,1.305e-07,2.11148e-05,0.2246183794,0.0,9.003e-07,0.0,,,0.000106856,0.8598401686,0.0363459369,0.0,,,,,,1.8e-09,0.0001469844,1.898e-07,,7.22063e-05,,,0.0,,,,,,0.0,0.0,0.0108205546,0.0,,,0.0032876761,3.2505e-06,0.0,,,0.0012769133,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,,2.5e-09,,,,1e-10,,,,,,0.0,,,,,,,0.0,,,,,9.79e-08,,,,,,,,,,0.0006377634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0675e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togekiss,1804169,97506,0.2069735116,2.76e-06,,0.0,,,0.0616297558,0.0004662471,8.539e-07,0.0,0.0009326008,8e-10,0.0015575443,,,0.0,0.0258086659,0.0497152599,,0.0001949028,0.0737087333,0.014613979,,0.1577929539,0.2199221735,,0.0874117862,0.0,23.4810707486,0.0023986299,0.039689091,0.0044184975,0.0011267598,3.9230531876,6.512e-07,9.9765221473,3.11912e-05,6.11699e-05,4.3106e-06,,0.0003856746,,0.0045717717,0.0,0.0,0.0,3.09684e-05,0.0,2.4593e-06,0.0,0.0281767794,,5.6e-09,0.0,0.0144940957,0.0100125103,0.0015869753,0.0017485359,6.8285e-06,6.65033e-05,9.2783e-06,0.0002350763,0.0010366196,,0.4581262543,0.0,7.54541e-05,,,,,1.09013e-05,,,,,0.0025366526,0.0,0.0,0.0,,0.0,0.0004621916,0.0001656921,,5.815e-07,0.0,,,3e-10,,,,0.0,0.0,,0.0,,,,0.0028086769,,,,,,,,,,,,,,0.0,,,1.68e-08,,,,0.0,0.0001910699,,,,,,,0.0,,,,,,0.0085597213,,0.0,,,,,,,,,,,,,,,,,,,,,0.0001170873,,,,,,,,,0.0053785603,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandslash,1804169,2471,0.0,,,,,,0.0004439643,,,0.0,0.0,,,,,,6e-10,0.0029777415,,,1.46305e-05,0.0,0.0,0.0,0.0,,,,3.59583e-05,1.21634e-05,,,0.0004043369,0.5985880387,0.0,1.511e-06,0.0,7.437e-07,,,,,3.04992e-05,0.0,,,9.98e-08,,,,,2.98e-08,,,0.0,3.52e-08,0.0042626289,0.0,0.0,,,3.63e-08,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,0.0050104717,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0001162107,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heliolisk,1804169,17675,,,,0.0018824093,,,0.0146041265,,0.0,,,,4.859e-07,,,0.0029955358,0.0029182765,0.4594725692,,,0.0028555949,1.4316e-06,,,0.0,1.161e-07,,,0.153267231,0.0,13.7112891066,0.0,0.0002931633,0.799619033,,0.5793226192,0.0,3.46e-06,,,1.16e-08,0.0,0.00154935,,,,0.0,,,0.0,0.0,,,,8.76e-08,0.0,0.0,0.0,0.0,,8.9225e-06,0.0105050748,0.0,,4.8697e-06,0.0,,,8.22e-08,,,,0.0,,,1.428e-06,,,2.813e-07,,,,,,,,,,,,0.0,2.44148e-05,,,,,,,,4e-10,0.0,0.0,,,,,,,,,,,,,0.0,,1.737e-07,,,,,0.0,0.0,,,,,0.0,,,,,,,,,1.57074e-05,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celebi,1804169,6929,0.0004326253,0.0,0.0,,,,0.0041777372,0.0,0.0,0.0,0.0,1.57346e-05,0.0,,0.0,,7.56797e-05,0.0663108561,0.0,0.0,0.0063710768,0.0067063721,,,0.0,,,0.0,0.0,2e-10,0.1085471662,,0.0001433656,0.6879303487,,0.0156783749,0.0,0.000297566,,0.0,0.0,0.0,2.50736e-05,0.0,,,5.9e-09,,0.0,,0.0,,,,0.0,7e-10,0.0759648571,0.0,0.0,0.0,,0.0,0.0,,0.0038338025,,,,,,,0.0,0.0,,,0.0006334275,,,0.0,,,,,2.04285e-05,,0.0,,,,,,,0.0,0.0,0.0,0.0,6.21526e-05,,,,,1.77611e-05,,,,,,,,,,0.0,,,,,,,,,0.0,5.76989e-05,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,3.20317e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcanine,1804169,29002,5.182e-07,2.04314e-05,,,0.0,,0.0042431804,0.0047640354,0.0040766513,2.9396e-06,,,3.01009e-05,,,0.0014276628,0.057726372,0.7123935719,,,0.3134943052,0.0071638407,0.0003949995,,0.0009033131,,2.34e-08,,0.957778326,0.0001925642,0.0320876529,0.0,0.086126845,0.0632056715,4.82937e-05,0.0043171675,0.0,1.43e-08,0.0,,0.0,0.0,0.0002584562,0.0004029906,,0.0,0.0,,,8.1093e-06,,1.07e-08,,,0.0,0.0094155077,0.5271098736,0.0016372568,0.012640154,4.872e-07,0.0002252301,0.0003539439,0.0043164122,0.0,4.231e-06,0.0,,0.0,0.0,,,1.301e-07,,,,4.625e-07,,,,,,,0.0,,0.0,0.0005277166,,,,0.0,,0.0047437783,,,,5.45017e-05,,,,,,0.0,,,,,,0.0,1.8602e-06,,0.0,,,1.0772e-06,,,0.0404836092,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,6.79882e-05,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omastar,1804169,8639,,0.0,,,0.0,,0.4440690892,,0.0,,,,0.0,,,0.0,0.007687994,0.012721558,,,0.0713035743,0.0,,,4.7e-09,,,,0.0,6.6743650041,0.7177765475,0.0,1e-10,6.33278e-05,2.03598e-05,7.288e-07,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,0.0,,,,,0.0001116268,0.0,0.0003008449,1.27e-08,,,,0.0,6e-10,0.0,,,,,,,1e-08,,,,,,,1.874e-07,,,,,0.0,,0.0857155041,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.516e-07,,,,,,,,,,,,,,,,,,,,,4.561e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsola-Galar,1804169,27823,,,,,,,0.001091473,,5.18e-08,,,,,,,,0.0,0.0036569771,,,0.0,3.061e-07,,,,,,,7.6e-09,,,,0.0147617275,0.000291408,,0.0,0.0,0.0,,2.5332e-06,,,0.0026858525,,,,1.4544892053,,,,,,,,,3.1488e-06,8.7083e-06,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0015646625,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyukumuku,1804169,10183,,0.0,,,,,2.11392e-05,0.0,0.0004586496,,,,0.0,,,,0.0,1e-10,,,2.5008e-06,1.26726e-05,,,,,,,0.1319113605,,,,3.5094224396,4.9046932316,0.0384226066,,0.0076515906,0.0,,,,,1.5e-09,0.0,0.0,,0.0,0.0,,0.0,,,,,,1.78154e-05,,0.0019023973,0.0006472528,0.0,,,0.0,,,,,0.0,,,,0.3466133797,,,,,,,0.0,,,0.0,,0.0111715966,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0060200691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.308e-07,,,,,0.9757675532,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victini,1804169,97029,0.0,6.556e-06,0.0,0.0,,,0.0348228268,0.0002597956,0.0,0.0,,0.0,3.1649e-06,,2.416e-07,0.0152611601,5.5707658692,0.0541408046,1.4e-09,,0.6988598655,3.63709e-05,0.0,,0.5132605364,0.0,,0.0047885351,26.9866166857,0.0001204455,0.8835533839,0.0002149613,2.10632e-05,1.2467167853,0.0,76.5239284,2.48403e-05,0.0356246416,,0.0,2.82229e-05,0.2671472043,1.3221e-06,0.0,,,0.0,,0.3122817233,0.0,2e-10,0.0001128652,0.0,0.0006207931,1e-10,0.001524077,17.1673327865,0.0,0.0199184603,0.0001988445,0.0,,1e-10,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,0.0022880062,,,,1.037e-07,,0.0,0.0,2.08001e-05,0.0,0.0163110041,,,,,0.0,0.0,,,,,6.4233e-05,0.0,0.0,,0.0,,,,,,0.0095222156,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,5.4271e-06,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cofagrigus,1804169,8696,,,,,,,1.72e-08,,0.0001675206,,,0.0,1.9489e-06,,,0.0,9.62e-07,1.70548e-05,0.0,0.0,0.0,0.0001727883,,,3.33104e-05,0.0,,0.0,1.4542e-06,,8.06438e-05,,0.1522846647,0.5849295659,0.0049014444,0.0001043008,0.001538564,7.5246e-06,0.0,0.0,0.0,,1.5859e-06,,,,0.001490451,0.0,0.0,6.18478e-05,,,,,,2.82746e-05,0.0,0.0,1.6e-09,9.4e-09,,,,0.0001466418,0.0,,,,,,,0.0174913217,,,,,,,,,,0.0,,,,,,9e-10,,,,,0.0,0.0115798849,,0.0,0.0109223006,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005155561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venusaur,1804169,84956,1.83e-08,3.46e-08,0.0,0.0,,,0.0028117824,1.8e-09,0.0,0.0008215762,0.0,0.0,0.0003639943,0.0,,0.0,0.0085185597,27.3437025805,,,0.002905958,0.0034180433,0.0,,0.0142824318,,0.0,8.82224e-05,0.002396034,0.0130642924,0.0493760507,0.0394897852,0.0016869601,0.2107131831,0.0,0.0003267529,0.0,4.93e-08,0.0,,0.0023474647,1.04115e-05,0.0011913533,,,,2.41801e-05,0.0002154518,,,0.0,0.0,1.1455328353,,0.0001031865,0.0199688111,4.9772e-06,1.8388e-06,2.43e-08,0.0,,0.0,0.0,,0.015187754,,,0.0,0.0,,,5.3886e-06,8.4042e-06,0.0,,0.0024159862,,,,,,,,0.002831057,0.0,0.0018675138,,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,2.7627e-05,,,,0.0,,,,0.0,,0.0,,0.0,,,0.0,0.0,,1.5e-09,0.0103667893,0.0056091643,,,,,0.0018138253,,,,4.44e-08,,,0.0,,0.0,0.0,0.0,,,0.0,,,1.284e-07,,,0.0,0.0,,,,,,,,,,,2.3767e-06,,,,,,,,,,,,,,,,,,,1.9249e-06,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrafty,1804169,10284,,,,,0.0141871847,,0.0324511528,0.0,0.000112749,,,,,,,,0.004528831,0.0062202195,0.0,,0.0039991847,0.0027987215,,,0.0001524393,,,,0.0002269863,,,0.0,7.128e-07,0.6901247206,0.0,0.0021464816,,5.00779e-05,,,,0.0,8.0769e-06,0.0,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0018091501,0.0015531609,0.0400027002,0.000206071,,,,0.0004030198,,1.345e-07,,,,,,,0.0004445326,0.0,,0.0013724764,,,,,1e-10,,,,,,0.0,,0.0,,,,,1.7137e-06,,,2.70287e-05,,,,,,,,,,,,,,,,,,,,,,,,,,1.9364e-05,,,,,4.355e-07,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnezone,1804169,68272,0.0,3.4296e-06,,4.59e-08,0.2561425929,,0.0006014685,0.0,6.32481e-05,7.0071e-06,,,4e-10,,,11.6423134845,0.3582878613,0.0609086425,,,0.032344544,0.0097172665,,0.0,0.0009725459,,1.537e-07,0.0,0.0618226364,,51.8485570103,2.103e-07,0.05943287,50.7508278487,0.0,17.7657518177,2.60482e-05,2.47456e-05,4.4064e-06,0.0021499324,0.0,,0.0023564915,8.12e-08,0.0,,,,0.0,0.0001329129,0.0,,,0.002135589,0.0033997107,5.3e-09,2.2e-09,0.0,0.0023004294,,0.0,1.4934e-06,2.79e-08,0.0379293876,6.4365e-06,0.0,,,,,,5.1959e-06,0.2423516684,0.0,,0.0,,,0.0,0.0,,,0.0,0.0015464379,,,,,,,0.0002050283,0.0053302373,5.3e-09,,0.0,,,,5.4277e-06,,0.0,0.0980414612,,,,,,,,,,,,0.0,0.0407599204,,,,,,,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.1452546053,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volcanion,1804169,42776,4.31e-08,,,,,,0.0096574163,0.0031567377,0.0003865143,0.0003147788,0.0,,0.001698981,,,0.00724868,11.2881246534,0.0399423415,,,0.1651834056,0.0009699614,0.0004204037,0.0,0.0072756303,0.0,0.0,0.0,23.7898515091,2.0016943319,15.2020042713,0.0,0.0047358391,0.7274390155,0.0,0.7234161197,0.0,1.06243e-05,,,,0.0080682923,9.5245e-06,7.72455e-05,,,0.0,,,,0.0096226578,,,,0.0031347926,0.0028535473,0.0045199935,0.0,9.3e-09,3.3524e-06,,,0.0,,7.8388e-06,0.0,0.0,,,,,1.0674e-06,,,,0.0,,,,,,,,,0.0,,,,,,,0.0157145041,0.0,,0.0,,,,,,,,,,0.0,,,,,,2.3997e-06,,,6.4e-09,,,6.2e-09,0.0,,,,,,,,,,1.81172e-05,,,,,,,,,,,,,,,,,,,2.27e-08,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2876e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhyperior,1804169,50220,,,,,0.000474701,,0.0181632182,0.0,0.0006106849,3.2307e-06,,0.0,0.0,,,5.38492e-05,0.4008010554,0.5091501533,,,8.35988e-05,8.9712e-06,0.0,0.0,0.8040157691,,0.0,0.0,0.0001846914,0.0005435956,1.525e-07,0.0,0.015759519,37.6144734033,,6e-09,6.656e-07,0.0004176812,1.9603e-06,0.0001876986,,0.0,6.1161e-06,,,,0.0,0.0,0.0043855768,5.4e-09,3.5707e-06,0.0,,,0.001964606,0.0937835606,3.7952162777,0.0053255555,5.4488e-06,0.0,,,,2.1485e-06,0.0,0.0,,,0.0,,,0.0058819956,,,,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0001298992,5.817e-07,,,,0.0002219316,2e-09,,,2e-10,,,,,,,,0.0,,,,,4.93829e-05,,,,,,,,2.6e-09,,,,,,1.03e-08,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,1.587e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33e-08,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ninetales-Alola,1804169,70594,0.0,,,0.0,0.0,,0.168992973,5.515e-06,1e-10,0.0,,,0.0008155717,,,0.0,0.0041080107,0.0341852153,0.0,,8.2818e-05,0.00039815,,2.99e-08,0.0002863272,,0.0,,0.2342219642,2e-10,0.1207973109,4.67675e-05,0.0563611915,0.0392629467,4e-10,0.3865957052,1.83e-08,0.0001540151,2.514e-07,,1.22e-08,0.0,0.0013638298,,,,1.65e-08,,,0.1161947537,0.0,,,,0.0025389245,5.0393e-06,5.676e-07,0.0,7.222e-07,,,0.0451507431,0.0,,0.0,0.0,,,,,,0.0006486269,,,,,,,0.0,,,0.0,,23.6551827817,1.78e-08,0.0011058799,,,,,,0.0,,,6.07e-07,,,,,,,4.857e-07,,,,,,,0.0,,,,,,,,,1.2e-09,,,0.0,,,,,,,,3.2021e-06,,,,,,,9.32639e-05,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0058019448,2.435e-07,7.7850053291,,,,5.2314e-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12272e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durant,1804169,12879,3.4431e-06,,0.0,,,,0.0042304504,0.0,0.0003013339,8.1628e-06,0.0,,0.0,,,0.0,4.9288e-06,1.9591355665,,,0.0012291102,2.57333e-05,,0.0,0.0001700103,,3.1696e-06,0.0,0.0006351664,1.47718e-05,0.0,0.0016844285,0.000197789,0.0036684766,0.0,0.0001120813,0.0,1.8e-09,,1.65857e-05,,0.0024480951,0.0,,,,0.0,,,0.0022795663,0.0015230208,1e-10,,,0.0168926484,1.048e-07,0.4847945283,0.1417643511,0.0,0.0,,1.17e-08,0.0,,5.21477e-05,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,0.0,,0.0,,,0.0001190418,,,,,9.31e-07,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004956371,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
