pokemon,number_of_battles,Raw count,Items_petayaberry,Items_chopleberry,Items_scopelens,Items_mentalherb,Items_rockyhelmet,Items_magoberry,Items_beastball,Items_figyberry,Items_nothing,Items_blukberry,Items_brightpowder,Items_razorclaw,Items_toxicorb,Items_dragonfang,Items_wikiberry,Items_spelltag,Items_chestoberry,Items_electricseed,Items_airballoon,Items_focusband,Items_flameorb,Items_lifeorb,Items_expertbelt,Items_aguavberry,Items_absorbbulb,Items_ironball,Items_weaknesspolicy,Items_kingsrock,Items_sitrusberry,Items_damprock,Items_heavydutyboots,Items_powerherb,Items_choicespecs,Items_widelens,Items_leftovers,Items_choicescarf,Items_quickclaw,Items_laggingtail,Items_wiseglasses,Items_focussash,Items_assaultvest,Items_enigmaberry,Items_silkscarf,Items_eviolite,Items_keeberry,Items_leppaberry,Items_ringtarget,Items_ejectbutton,Items_metronome,Items_twistedspoon,Items_roomservice,Items_blunderpolicy,Items_fullincense,Items_magnet,Items_choiceband,Items_lumberry,Items_iapapaberry,Items_cellbattery,Items_throatspray,Items_adrenalineorb,Items_custapberry,Items_salacberry,Items_normalgem,Items_wacanberry,Items_psychicseed,Items_blacksludge,Items_oranberry,Items_blackbelt,Items_colburberry,Items_flyingmemory,Items_apicotberry,Items_shedshell,Items_grassyseed,Items_sharpbeak,Items_chartiberry,Items_blackglasses,Items_stickybarb,Items_muscleband,Items_ganlonberry,Items_rockincense,Items_ejectpack,Items_heatrock,Items_leek,Items_heavyball,Items_persimberry,Items_mistyseed,Items_redcard,Items_berryjuice,Items_metalcoat,Items_whiteherb,Items_marangaberry,Items_liechiberry,Items_safetygoggles,Items_starfberry,Items_roseliberry,Items_shellbell,Items_shucaberry,Items_lightclay,Items_terrainextender,Items_kasibberry,Items_icyrock,Items_machobrace,Items_mysticwater,Items_powerlens,Items_steelmemory,Items_zoomlens,Items_smoothrock,Items_occaberry,Items_laxincense,Items_silverpowder,Items_burndrive,Items_ultraball,Items_firestone,Items_passhoberry,Items_firememory,Items_luminousmoss,Items_cheriberry,Items_shockdrive,Items_bigroot,Items_charcoal,Items_bottlecap,Items_deepseatooth,Items_bugmemory,Items_pechaberry,Items_miracleseed,Items_utilityumbrella,Items_lansatberry,Items_cobaberry,Items_masterball,Items_poisonbarb,Items_jabocaberry,Items_waveincense,Items_protectivepads,Items_gripclaw,Items_energypowder,Items_lightball,Items_electricmemory,Items_oddincense,Items_floatstone,Items_yacheberry,Items_payapaberry,Items_poisonmemory,Items_pixieplate,Items_tangaberry,Items_chippedpot,Items_dragonmemory,Items_hardstone,Items_groundmemory,Items_fightingmemory,Items_leafstone,Items_rowapberry,Items_rawstberry,Items_powerbracer,Items_deepseascale,Items_softsand,Items_tr95,Items_nevermeltice,Items_icestone,Items_babiriberry,Items_bindingband,Items_seaincense,Items_fastball,Items_snowball,Items_habanberry,Items_kebiaberry,Items_ghostmemory,Items_pokeball,Items_fairymemory,Items_tr09,Items_powerweight,Items_micleberry,Items_roseincense,Items_waterstone,Items_ovalstone,Items_poweranklet,Items_tr93,Items_crackedpot,Items_prismscale,Items_psychicmemory,Items_ribbonsweet,Items_powerband,Items_healball,Items_protector,Items_tr81,Items_levelball,Items_goldbottlecap,Items_whippeddream,Items_darkmemory,Items_upgrade,Items_dragonscale,Items_rarebone,Items_tr98,Items_greatball,Items_rindoberry,Items_tr38,Items_lustrousorb,Items_rockmemory,Items_souldew,Items_rustedsword,Items_tartapple,Items_powerbelt,Items_aspearberry,Items_tr51,Items_tamatoberry,Items_grassmemory,Items_adamantorb,Items_tr65,Items_watermemory,Items_quickball,Items_quickpowder,Items_metalpowder,Items_duskball,Items_thickclub,Items_chilanberry,Items_grepaberry,Items_tr67,Items_fossilizedbird,Items_tr00,Items_tr15,Items_tr66,Items_cloversweet,Items_thunderstone,Items_sachet,Items_tr43,Items_icememory,Items_rustedshield,Items_tr62,Items_repeatball,Items_electirizer,Items_dreamball,Items_starsweet,Items_cherishball,Items_lovesweet,Items_fossilizedfish,Items_tr11,Items_tr17,Items_tr22,Items_tr57,Items_tr03,Items_tr36,Items_tr44,Items_premierball,Items_shinystone,Items_berrysweet,Items_flowersweet,Items_luxuryball,Items_parkball,Items_moonstone,Items_safariball,Items_qualotberry,Items_timerball,Items_tr20,Items_tr06,Items_galaricacuff,Items_sweetapple,Items_destinyknot,Items_dousedrive,Items_tr24,Items_fossilizeddrake,Items_tr28,Items_griseousorb,Items_magmarizer,Items_diveball,Items_tr85,Items_sportball,Items_tr71,Items_tr69,Items_dawnstone,Items_sunstone,Items_tr47,Items_kelpsyberry,Items_tr91,Items_tr31,Items_tr29,Items_tr89,Items_tr60,Items_pomegberry,Items_nestball,Items_tr53,Items_pinapberry,Items_tr94,Items_moonball,Items_netball,Items_tr46,Items_chilldrive,Items_duskstone,Items_reapercloth,Items_hondewberry,Items_loveball
Omastar,1345731,10431,,0.0,,0.0,0.0699658122,,,0.0,0.0004399738,,0.0,,0.0,,,,0.0,,0.0,,,0.0013277069,1e-10,0.0,,,0.002221265,0.0,0.0,0.0,2.9e-09,12.3991686401,0.0179635881,,0.0049940314,0.0,0.0,,6.0013e-06,17.4396154628,1.80747e-05,,,5.43e-08,,,,,,,,0.0,,,,,0.0001758264,,,,,,,0.0,,,,,,,,,,,,,,,,3.56e-07,0.0,,,,,,0.0,,,0.1861341109,,0.0,,,,2.61463e-05,1.8066e-06,,,,,,3.38e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001410288,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6829e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsola-Galar,1345731,19059,,,,0.0,0.000505549,,,,3e-10,,,,,,,0.0,,,,,,,,9.0645e-06,,,,,0.0008352127,,,,0.0,,0.0030693828,,,,,0.0001459082,0.0,,,2.0205892823,,,,,,,,,,,4.38931e-05,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,1.1561e-06,0.0,,,,,,,,,,,,,,,,,,3.53e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.738e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyukumuku,1345731,14409,,,,0.0015995544,7.9270940351,,,,1.8833e-06,,,,,,0.0,,0.000215873,,,,1.1e-09,0.0,0.0,2.8842529182,,,1.99293e-05,,0.0001932078,0.0,0.045041915,,,,0.8383491685,,,,,9.2786e-06,1.93e-08,,,1.52059e-05,0.0,0.0138366114,,,,,,,,,,1.5375e-06,1.20463e-05,,,7e-09,1.8702e-06,,,,,,,,,,,0.0310072848,,,,,,,,,,,,,,,0.0017841655,,,,0.0,,0.0,,,0.0,,0.000306944,,,0.0,,,,,0.0,,,0.0,,,,,0.0,,,0.0,,,,,,,4.7487e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8166e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victini,1345731,101063,0.0,0.0,0.0022719836,0.0001576016,1.50069e-05,0.0,,2.1111e-06,0.0221512641,,0.0,6e-09,0.0,0.0,1.5982e-06,,0.0012351547,,0.0002952277,1.964e-07,3.872e-07,0.1595269397,0.1941522342,0.0012200394,0.0012961366,2.52726e-05,0.2842440354,,2.1942e-06,0.0,270.7534482756,1.7e-09,0.5935712881,2.452e-07,0.0466522358,51.1503487063,0.0023649401,0.0,0.0237094188,0.0213245257,0.2264404309,0.0,0.0,1.6765e-05,,,0.2863031047,0.0,4.95e-08,0.0,0.0006658631,1.855e-07,,0.0,79.972305008,2.6266e-06,4.41642e-05,,,0.0,0.0,9.3817e-06,0.0,,0.0,,0.0002782131,0.0,1.56e-08,,,,,,,,0.0,1.2698191676,,,0.0334719867,0.0,,,,,,0.0,,0.0430262903,,0.0,,,,5.7e-09,0.000900907,,,0.0,,0.0,,,,0.0,,,,,,,0.0,8.791e-07,0.0001713551,,,,,0.3279290425,,,,0.0,,2.66076e-05,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cofagrigus,1345731,8148,,,0.0,2.757e-07,0.9826562549,0.0001320993,,0.0,0.0002175491,,0.0,0.0,0.0,,1.63e-08,0.0024527959,0.0005681797,,0.0,,0.0,4.1622e-06,1.24e-06,2.95622e-05,,,4.966e-07,,2e-10,,0.0,,0.0010035277,,0.2018586705,3.06703e-05,0.0,,,0.0025362569,5.6215e-06,0.0,,,0.0,,0.0,3.997e-07,,,,,,,8.439e-07,0.0,0.0,,,,7.0002e-06,0.0,,,,0.0,0.0,,0.0018039375,,,,6.9848e-06,,,,3.61e-08,,,,,,,,,,1.68452e-05,,,,,,0.0,,,,,,,2.1e-09,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.19e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venusaur,1345731,70909,,,2e-10,1.053e-07,0.046329628,0.0,,2.289e-07,0.0134380132,8.9e-09,0.0,,2.9156e-06,,3.1e-09,,0.0,0.0,4.074e-07,4.2985e-06,0.0,53.3057535898,0.0204258345,0.0223581119,4e-09,,0.0581549,0.0,0.000120286,,0.0002630241,0.0001269259,0.0122551247,0.2583992582,0.2935049673,0.0002589783,8.874e-07,0.0,0.4243958453,0.026452138,0.0048033867,,,3.03681e-05,0.0,,,0.0,0.0,,,1.7661e-06,,,0.0024567254,3.4879e-06,3e-10,,,,0.0,0.0002521445,,,,1.3378762519,0.0,0.0,,,,,4.3413e-06,,4.3145e-06,0.0,0.0,4.08807e-05,2.89e-08,,,0.0491830902,,,0.0,,1e-09,0.0,,6.83e-08,0.0,0.0,0.0016625323,0.0,,3.2e-09,0.0,1.658e-07,,0.0,,,,,,4.49e-08,,0.0011354571,0.0,,,,,,,,0.0,,0.0059982318,3.6e-09,,,,,0.0159728646,0.0,0.0,0.0650027914,,2.873e-06,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0013940668,,,,,,,,,,,,,,,,,,,0.0,,,2.7e-09,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnezone,1345731,156707,0.0002381982,79.93929983,0.0,2.70243e-05,2.2862319306,0.0026216485,,1.93872e-05,2.2256338168,,0.0,,,,0.000381534,1.0424e-06,8.4694e-06,2.07714e-05,23.7310511118,0.0,0.0,0.1795689909,18.8291378822,0.005151858,0.0036832244,7.98777e-05,0.0063719909,0.0,0.0005251642,0.0002361414,0.7026265252,0.0,185.8896120669,1.52315e-05,267.1786704856,63.8427499159,0.0017292115,0.0021623534,2.9605e-06,0.0102752382,40.8437165488,0.0,,1.26638e-05,1.23e-08,0.0,,2.98135e-05,0.0001251285,,,0.0221280643,0.0001556983,7.0452350863,0.741805442,0.0,0.0007905474,1.39295e-05,0.2888480236,0.0021940578,0.2965903062,0.0037135854,2.239e-07,,,,0.0,0.0111926254,,,0.0,8.0096e-06,0.0258954726,,,,,,,,,1.337584128,,,,,0.0002773422,0.0,0.2271054085,,,,0.0,0.0,,5e-10,0.0034358524,0.011205634,0.0,,,1.01353e-05,,,,4.6e-09,,1.4630801075,1.1594e-05,,,,,,,,,,,6.3e-09,,,,,,,0.0,,,,,,1e-10,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1.92e-08,,,,,,,,,,,,,,5.9e-09,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volcanion,1345731,35313,,,0.0005168242,0.0,0.0005274597,0.0001888745,,0.0,0.0002576203,,,0.0,,,6.3e-09,,3.51e-08,,0.0021850311,0.0,2.6181e-06,0.0428906092,0.0868028624,0.0053750349,0.0037643656,,2.13209e-05,0.0,0.091513163,9.05e-08,14.3524516206,9.15684e-05,17.9447400276,1.54e-08,0.2410343493,0.1545367062,0.0023268531,,0.0021148277,0.1525382503,1.4295335605,,,0.0,,,,,2.75675e-05,,0.0,3.57623e-05,,,0.0005532303,1.62e-08,0.0001489171,0.0001220008,4.6e-09,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,5.35e-08,,,,,,,,0.0,,,0.0,,,0.0,0.0004998403,,,,,,0.0609117828,,,0.0032453029,,0.0,0.0,,,,5.1062e-06,,0.0,,,,,0.0001184614,,,,,,0.0,,,,,,0.0,0.0099604853,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhyperior,1345731,25804,,0.0,,0.0,0.0125355567,0.0,,0.0,3.94701e-05,,0.0,4.274e-07,,0.0,,,0.0,,0.0132151675,0.0,0.0,0.0485025629,5.953e-07,0.003534792,,0.0,2.0193236628,,5.66057e-05,,0.0002499946,0.0,3.678e-07,0.0014548123,20.7119307124,0.0002264325,0.0003333408,,,0.0033343622,0.0508101694,,,0.0,,,,1.16089e-05,3.63e-08,,,8.3e-09,,,10.5114872213,0.0225095539,0.0,0.0,,,0.3732597406,0.0,,,0.0033369885,,,0.0,,,,,,,0.0,,,7e-08,,2.66e-08,0.0,0.0,,,,0.0018308702,2e-10,,,0.0,,,0.0,,,0.0,0.0,,,,,,,,,0.0003460556,0.0,,,,,,,7.11812e-05,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,0.0002387434,0.0,,,,,,,1.5080159448,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0266943747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latios,1345731,81866,0.0,,1.67e-08,2.7206e-06,0.0039489468,0.0,,2.66e-08,0.0009779097,,0.0,,0.0,3.44408e-05,5.61e-08,,,0.0001413419,,,0.0004656627,25.9175348374,0.4497035615,1.311e-07,,,24.7223707316,0.0,9.07e-07,0.0,1.1823227417,0.0,56.6350457742,,0.9535554654,5.9918503956,0.0,0.0,9.7e-09,0.0853479909,0.0059380705,,,7.63289e-05,,,0.0760513599,0.0350071079,0.0058169216,0.0,,,,,0.0010822894,0.1196986726,5.242e-07,,,0.0,1.4302e-06,5e-10,,,2.443e-07,0.0,,,0.5810551006,,,,0.0,,,,,,0.0,,0.0897399147,0.0,,,0.0005246973,,0.0,,,9.14375e-05,,,1e-10,,0.0011018236,0.00222673,,2.2689574205,,2.14921e-05,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0019618986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,6.0513409336,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durant,1345731,7286,,,9.235e-07,,2.375e-07,0.0,,0.0,3.2882e-06,,9.79615e-05,4e-10,,,,,,,0.0,,0.0,0.7067794715,0.0004763939,0.0,,1.8e-09,0.0,0.0,7.11e-08,6.1724e-06,5.4188e-06,,,0.002849416,2.98781e-05,0.0005887227,0.0001263446,,,0.0153784551,0.0006836822,,,0.0,,,,2.10012e-05,3.57e-08,,,0.0083542437,,,0.1729001543,3.762e-07,0.0,,,,,3.7209e-06,,,,,,,,,,,,,,,5.12e-08,0.0,,,0.0,,,,,,0.0,,1.4e-09,0.0,,,,,,0.0,,,,,,,,,,0.0006779203,,0.0,,5.81e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1.454e-07,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapu Bulu,1345731,29189,,,,,4.7991528659,4.43831e-05,,0.0001448795,0.0049501359,,,,,,3.9212e-06,,3.40401e-05,,1e-10,,0.0,58.1803840199,8.60413e-05,7.5353e-05,,3.32942e-05,0.0025097867,,0.0085924105,,0.3848199695,1.568e-07,1.17998e-05,0.0,28.0834679547,3.4323258166,0.0,,,0.0001651511,2.5583391802,,,0.0002410564,,,,,0.0,,0.0,7.8e-09,,,0.9193263187,0.0087468214,6.03224e-05,0.0,,0.0,,6.9e-09,0.0,,0.0,,,,,,,,0.0010078594,,,,,0.0,,,1.30768e-05,1.6142e-06,,,,,,0.0,,0.0,5.689e-07,,,,,0.0,,0.0022150533,3.6268561137,,,0.0,,,,,,6e-09,,,,,,,,,,,0.0093309682,,,,,,1.67954e-05,,,0.0090676341,,,,,0.0,,,,,0.0,,0.1567802334,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0040867593,,,0.0,,,,1.1171e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incineroar,1345731,36793,,0.0,3.7062e-06,0.0,0.0002631507,6.965e-06,,0.0382554048,0.0004162854,,0.0,0.0,,,0.013606452,,2.66284e-05,,0.0056345388,,6.3e-09,0.0386064116,0.0381339576,0.0846814105,0.0,,0.0884280411,0.0,0.0591236919,,30.8182409716,0.0,0.0003557131,0.0,0.080933924,0.0058473412,0.0002385129,,,0.0147177774,0.3333177955,0.0,0.0,1.326e-07,0.0,,,1.2e-09,0.0,,,2.06248e-05,0.0,,0.1089398319,0.0,0.008090049,,0.0002351409,4e-10,,0.0022382457,1e-10,,0.0,,,0.0,,,,0.0,0.0,,3.9135e-06,4.2e-09,,1.424e-06,,,0.0,3.5332e-06,,7.9e-09,5.91e-08,,0.0,9e-10,,,0.0,4.736e-07,0.0062786497,,0.0,2.33205e-05,0.0209072626,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,,0.0,,9.69e-07,0.0005729854,,,,,,6.32489e-05,,,2.5e-09,,,,2e-10,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e-10,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moltres-Galar,1345731,33715,0.0082062677,,0.0,0.0,0.003004649,0.0010318819,,0.0019189992,0.0002714221,,,,7.65e-08,,0.0139005376,,0.4532147221,6.644e-07,0.0,,0.0,0.0504893442,0.0013844252,0.0103002448,,,6.7587030279,0.0361993394,3.6710115427,,118.3325011627,0.0,0.0080477137,2.00797e-05,2.2980497308,0.0228309928,7.56131e-05,,0.006988348,0.0180319661,0.003590505,,,1.4128e-06,0.0,,,,1.9805e-06,,0.0,0.0777062797,,,0.0127110584,0.1320059417,3.2152651172,,0.0042555619,0.0,0.0097699703,0.0180630231,,0.0,,,0.0,0.0,,,,,1e-10,1.10068e-05,0.0,0.0067964959,,,0.1002216829,,,,,,,0.0,1.941e-07,3.4215e-06,,,0.0021316034,,0.0,0.0,1.04982e-05,7.511e-07,,,,,,,,,,1.838e-07,,,,,,,,,0.0,,,,,2.29167e-05,,,,3e-10,,,,,,0.0010036115,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Araquanid,1345731,21086,,,,0.0247437874,0.0058926636,3.4739e-05,,6.11938e-05,3.3e-09,,2.1e-08,,,,0.0,,9.28672e-05,,0.0,,,0.0003992541,0.0010149713,0.2391282769,,,0.000583729,,0.0254747869,1e-10,0.7694489026,,1.71661e-05,,1.1674095774,0.0,0.0496597392,,0.0,0.3016044176,0.0064495769,,,0.0002624645,,,,0.0,0.0,,0.0,,,,0.4106946596,0.0,0.0042675388,0.0,4e-10,0.0,0.2882007638,0.0,,4.6e-09,,,,,,,,,,,3e-10,,,0.0377134453,2.445e-07,,,,,,,,0.0271959972,,,,,0.0,,,,1.082e-07,,0.0046861968,,,,,0.952198695,,,,,,,0.0,,,,,,,,,3.08e-08,,,,,,,,,0.0,,,,2.71e-08,0.0,3.5622e-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.0129e-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moltres,1345731,53472,3.347e-06,,0.0,,0.0006326941,9.027e-07,,3e-10,0.0002520289,,,,,,4.92e-08,,,0.0,0.0,0.0,0.0002491577,0.0247215886,0.0034366209,4.3679e-05,0.0,,0.733736456,,0.0183069746,,65.6627133583,0.0004371837,0.0726604848,0.0004287578,0.8007216121,0.0038751109,0.0,,1.57255e-05,0.0024506166,0.0072450968,,,0.0,0.0,,,,0.0,,,0.0,0.0,,0.0002930563,0.0,3.7701e-06,,,0.0003128157,,4.89e-08,,,1.822e-07,,0.0,,,,0.0,,0.0,0.0,0.0004164029,,,,,,0.0,2.121e-07,,2e-09,,0.0023128773,0.0,0.0,,0.0,0.0,,0.0012756092,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,0.0004293389,0.0,,,,,0.0018100453,,,,,,,,,,,,,0.0,,,,,,1.9104e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloyster,1345731,91259,,0.0011307944,8.75909e-05,5.61365e-05,0.0293386401,0.0002556972,,9.57156e-05,0.0048793977,,0.0,0.0,0.0,,1.38e-07,,3e-10,,0.0,0.0013483599,0.0,0.0495701004,0.0143075358,0.0004292616,,0.0,0.0055127482,101.4893572033,3.7494e-06,0.0,6.2510174666,0.0003201886,3.24387e-05,2e-10,0.0392144944,5.56623e-05,0.0,,,28.1450831336,0.0054727723,,,0.0002363482,0.0,,,,0.007034425,,,0.0,,,0.0069472859,0.0035936561,3.394e-07,,,0.0,0.0,0.0,0.0,0.0001889339,0.0,6.41e-08,0.0,0.0,,,,,,,0.0,,0.0,0.0001365355,,0.0,4.806e-07,,,,,,0.0,,,0.7918669815,,,,,,1.15671e-05,,1.51761e-05,,,0.0,,4.196e-07,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0014160256,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,,0.0004478912,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tauros,1345731,10866,,1.48266e-05,0.0,0.0,0.0008038864,0.0,,1.92e-07,1.52748e-05,,0.0,,0.0,,0.0,,,,,0.0,,3.818723706,2.8523e-06,0.0,,,0.0,0.0,0.0,,7e-10,0.0,0.0,,0.0004133471,0.0132784705,,,,2.32292e-05,4.53723e-05,,0.0,,9.5e-09,,,,0.0,,,0.0,,0.0,0.0505201566,0.0,,,,,,0.0007113388,5.1e-09,,,,,0.0,,,,,0.0,,,,,4e-09,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klefki,1345731,22493,,,0.0,0.0131926292,0.0890357681,0.0,,,0.000406602,,,,0.0083682628,,5.4661e-06,,2e-09,,0.0090854691,7.97e-08,0.0025939241,1.84117e-05,0.0,0.002477154,,0.0028575233,2.91e-08,1.8e-09,3.5031e-06,2.74423e-05,0.0001162173,0.0,0.0266933053,0.0003864795,3.479422148,0.0003544721,,0.1205382037,,0.0251057435,1e-10,,,0.000475535,0.0,,1.4420485061,0.0486616085,0.0,,,,1.3556808484,,0.0001325519,0.0,1e-10,,0.0,,0.0,0.0,,,,1.72626e-05,,,,,,7.378e-07,,,,,0.000962043,,,,0.0,1.015e-06,0.0,,,,0.0001407202,,0.0186978072,0.0,,,0.0,0.0,,0.0006780353,3.67e-08,4.1379060266,,,,,,,,,,0.0007345565,0.0003551813,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
