pokemon,number_of_battles,Raw count,Items_scopelens,Items_safetygoggles,Items_petayaberry,Items_mentalherb,Items_zoomlens,Items_rockyhelmet,Items_lightclay,Items_figyberry,Items_nothing,Items_lumberry,Items_razorclaw,Items_blacksludge,Items_wikiberry,Items_spelltag,Items_nevermeltice,Items_grassyseed,Items_airballoon,Items_assaultvest,Items_expertbelt,Items_lifeorb,Items_stickybarb,Items_apicotberry,Items_chopleberry,Items_aguavberry,Items_adrenalineorb,Items_magoberry,Items_heatrock,Items_choiceband,Items_kingsrock,Items_ironball,Items_damprock,Items_heavydutyboots,Items_powerherb,Items_choicespecs,Items_widelens,Items_leftovers,Items_choicescarf,Items_redcard,Items_quickclaw,Items_flameorb,Items_wiseglasses,Items_focussash,Items_focusband,Items_silkscarf,Items_eviolite,Items_whiteherb,Items_ringtarget,Items_pokeball,Items_metronome,Items_liechiberry,Items_iapapaberry,Items_blunderpolicy,Items_bugmemory,Items_magnet,Items_sitrusberry,Items_weaknesspolicy,Items_roomservice,Items_laggingtail,Items_throatspray,Items_brightpowder,Items_shellbell,Items_powerlens,Items_salacberry,Items_normalgem,Items_wacanberry,Items_metalcoat,Items_psychicseed,Items_crackedpot,Items_toxicorb,Items_chestoberry,Items_protectivepads,Items_rockincense,Items_blackglasses,Items_muscleband,Items_roseliberry,Items_ejectpack,Items_whippeddream,Items_sharpbeak,Items_heavyball,Items_berryjuice,Items_keeberry,Items_marangaberry,Items_ejectbutton,Items_chartiberry,Items_rockmemory,Items_cheriberry,Items_machobrace,Items_charcoal,Items_shucaberry,Items_oranberry,Items_colburberry,Items_electricseed,Items_terrainextender,Items_kasibberry,Items_electricmemory,Items_oddincense,Items_cellbattery,Items_enigmaberry,Items_steelmemory,Items_smoothrock,Items_fullincense,Items_occaberry,Items_custapberry,Items_silverpowder,Items_twistedspoon,Items_firestone,Items_passhoberry,Items_absorbbulb,Items_shedshell,Items_starfberry,Items_firememory,Items_laxincense,Items_protector,Items_poisonbarb,Items_bindingband,Items_bigroot,Items_gripclaw,Items_pechaberry,Items_miracleseed,Items_hardstone,Items_ganlonberry,Items_utilityumbrella,Items_lansatberry,Items_cobaberry,Items_blackbelt,Items_mistyseed,Items_mysticwater,Items_floatstone,Items_pixieplate,Items_lightball,Items_waveincense,Items_electirizer,Items_masterball,Items_yacheberry,Items_rawstberry,Items_poweranklet,Items_pinapberry,Items_payapaberry,Items_micleberry,Items_dragonfang,Items_persimberry,Items_flyingmemory,Items_icyrock,Items_safariball,Items_burndrive,Items_fightingmemory,Items_sachet,Items_darkmemory,Items_snowball,Items_jabocaberry,Items_leppaberry,Items_babiriberry,Items_icememory,Items_rindoberry,Items_seaincense,Items_lustrousorb,Items_ghostmemory,Items_reapercloth,Items_fairymemory,Items_ultraball,Items_rowapberry,Items_powerweight,Items_grassmemory,Items_tr62,Items_waterstone,Items_chilanberry,Items_luminousmoss,Items_chippedpot,Items_tangaberry,Items_leafstone,Items_tr15,Items_powerband,Items_kelpsyberry,Items_energypowder,Items_healball,Items_moonstone,Items_dragonmemory,Items_blukberry,Items_watermemory,Items_fastball,Items_beastball,Items_leek,Items_powerbracer,Items_habanberry,Items_ovalstone,Items_softsand,Items_poisonmemory,Items_psychicmemory,Items_prismscale,Items_dawnstone,Items_dragonscale,Items_fossilizedbird,Items_dreamball,Items_repeatball,Items_greatball,Items_deepseascale,Items_sweetapple,Items_groundmemory,Items_tr38,Items_tr30,Items_adamantorb,Items_premierball,Items_tr71,Items_destinyknot,Items_tartapple,Items_galaricacuff,Items_tr98,Items_kebiaberry,Items_upgrade,Items_hondewberry,Items_roseincense,Items_luxuryball,Items_tr65,Items_tr10,Items_flowersweet,Items_quickpowder,Items_metalpowder,Items_loveball,Items_tr49,Items_thickclub,Items_rarebone,Items_tr36,Items_rustedsword,Items_souldew,Items_tr67,Items_icestone,Items_sunstone,Items_tr33,Items_grepaberry,Items_rustedshield,Items_shockdrive,Items_netball,Items_lureball,Items_quickball,Items_tr02,Items_berrysweet,Items_tr50,Items_diveball,Items_thunderstone,Items_tr03,Items_deepseatooth,Items_tr88,Items_duskstone,Items_aspearberry,Items_moonball,Items_cloversweet,Items_tr93,Items_goldbottlecap,Items_tr11,Items_tr64,Items_tr06,Items_tr40,Items_timerball,Items_tr28,Items_friendball,Items_griseousorb,Items_tr58,Items_shinystone,Items_fossilizeddino,Items_nestball,Items_tr68,Items_qualotberry,Items_tr00,Items_chilldrive,Items_lovesweet,Items_tamatoberry,Items_dousedrive,Items_powerbelt,Items_tr20,Items_tr66,Items_tr87,Items_ribbonsweet,Items_parkball,Items_tr97,Items_sportball,Items_starsweet,Items_tr43,Items_tr39,Items_fossilizeddrake,Items_bottlecap,Items_tr44,Items_duskball,Items_tr04,Items_cherishball,Items_tr05,Items_tr18,Items_tr53,Items_tr60,Items_tr47,Items_tr99,Items_tr08
Heliolisk,1398223,12345,,0.0,,,,0.0,,0.0,6.792e-07,,,,,,,,0.0074819987,0.0001768319,0.0026791417,0.733647023,,,0.0,4e-10,,,5.368e-07,1.4e-09,0.0,,4.93903e-05,0.1209826044,9.885e-07,0.1057667271,0.0,0.1379412471,0.0379575821,0.0,0.0,,1.18e-08,0.0061775346,0.0,0.0,0.0,,,,,,,0.0,,0.001012003,9.80763e-05,0.0,,,3.123e-05,0.0023934564,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,0.0,,,0.0001001429,,,,,,,,6.17e-08,0.0012147583,,,0.0,,,,0.0,,,,,,6.673e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcanine,1398223,28881,,0.0,6.27643e-05,0.0,,0.1595816633,,0.0005330443,0.0009067163,5.881e-07,0.0,,1.23e-08,,,,0.0090556963,0.0729176362,0.1734431432,0.2284744055,,,0.0,0.0046365011,1e-10,1.8207e-06,0.0021192711,0.4330459613,7.97865e-05,,,1.086490781,8.46e-08,0.0048179852,0.0,0.1564414614,0.0117814162,0.0,9.6846e-06,0.0,3.569e-07,0.0019325731,0.0,0.0,0.0,1.8993e-05,,,1e-09,0.0058635663,7.83833e-05,0.0,,,0.000714769,4.2179e-06,,,0.0012122642,0.0002281648,0.0018523833,,0.0,,,,,,0.0,0.0,0.0,,,3.3351e-06,,0.0,,,0.0,,,2.05711e-05,0.0,0.0,,,,0.0051021801,3.31e-07,,,,,,,,,,,,,2.05e-08,0.0001585902,,,0.0,0.0,3.42e-08,,,6e-10,,,,,,,,,,,0.0001885734,0.0,,3.58e-08,,,,,,,,,0.0,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omastar,1398223,9518,,,0.0,1.6e-09,,5.45498e-05,,0.0,1e-10,7.1e-09,,,,,,,0.0,0.000211811,0.0,0.302066736,,,,0.0,,,,,,,1.4936e-06,0.000103999,2.9537616015,0.4957945924,,0.0014144375,0.0109901936,0.0,2.4619e-06,,,15.1507830981,,,0.0,0.013159148,,,,,0.0,,,,0.0,2.4656e-06,,,,0.0,,,,,,,,,,,,0.0,,,,2.0352e-06,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0003135629,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsola-Galar,1398223,21663,,,,,,5.6307e-06,0.0026495839,,8.90721e-05,0.0,,,0.0050871679,0.0,,,,0.0,6.25558e-05,0.0,,,,2e-10,,,,1.33877e-05,,,,2.788e-07,,0.0,,0.1485290656,0.0,,0.0,,,0.0076052862,,,1.2343755575,,,,,,0.0,,,,,0.0,,,,,,,4e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.34e-08,,,,,,3.991e-07,,,,,,,,,,,,,,,,,,4.34811e-05,0.0001118742,,,,,,,,,2e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyukumuku,1398223,11803,,0.0007829764,,9.119e-07,,1.5534863924,0.0551978355,1.719e-06,0.00222085,0.0162276935,,0.0,,,,,,0.0,,1.171e-07,,,,0.1307236415,,,,,0.0,,3.3e-09,0.0024371377,,,8.4569e-06,2.4646767696,,0.0003424416,,0.0,,1.77142e-05,1.4253e-06,,0.0,,,,,,1.5674e-05,,,,2.99e-08,3.95424e-05,,,,0.0,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,0.0,7e-10,0.0,,,,,,,,,,,,,,0.0,,,,,,7.348e-06,,,,0.0,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.076996168,,,0.0,,,,,,,0.0007282932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victini,1398223,96827,0.0,,,1.9251e-06,0.0,7.63095e-05,0.0,6e-10,4.63896e-05,0.0,0.0,0.0,0.0,,,,0.0011200285,2.2148706781,1.8037426503,1.2492143483,,,,0.0045212014,,0.0223992822,1.023e-07,108.1710599439,6e-10,0.0013770493,,94.1999621857,,0.3879777581,0.0306119501,3.4349188627,35.2757901963,0.0,0.0002631666,5.71133e-05,8.7306e-06,0.0162301681,0.0,0.0,2.712e-06,0.00125418,1.0696929815,0.0,0.0008179912,6e-10,1.46755e-05,0.0012466527,,0.0,0.0001911356,0.0265539934,0.027314712,0.0,,,0.0,,2.13179e-05,0.0,,,0.0,,3.1771e-06,0.0139635129,0.0,,,0.0004881783,,0.1875946161,,,,,,,1.2322e-05,,,0.0,,0.005434685,1.033e-07,0.0,4.3e-08,,,0.0,,1.309e-07,,,,,2e-10,,,,0.0,,7.7153e-06,3.41764e-05,,,9.1524e-06,0.0,,,0.0,,0.0,,,,,0.0014883812,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cofagrigus,1398223,9167,,0.0,,0.0102648595,2.46e-08,0.7588604233,,0.0031047242,0.000149445,0.0003842785,,1.19e-08,6.18514e-05,0.0,,2.42675e-05,4.93742e-05,3.219e-07,0.0,1.2e-09,0.0,0.0,,0.0003835751,,0.0,,0.0,,,,0.0009852683,,0.0002401616,,0.1409859275,0.0,0.0046472136,0.0,0.0,,0.0013663227,,6.144e-06,0.0,,,,,,0.3333387065,,,,0.000364156,0.0001224996,0.0,0.0029044441,,0.0,,,0.0,,,,,,0.0,0.0293990584,,,0.0,,,,,,,0.0,0.0,0.0,5.36385e-05,,,,,,,,0.4938476762,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venusaur,1398223,62310,0.0010082443,0.0,,0.0,9.248e-06,0.0019085937,0.0006054214,1.6357e-06,0.0008225347,1.49537e-05,0.0,0.6912545592,3.32573e-05,,,0.0,0.0,0.0185490685,0.0080237479,51.7979369228,0.0,,,0.0008845117,0.0,1.51946e-05,0.0271170256,9.91174e-05,2.15825e-05,,,0.0006442774,0.0500414868,0.0005747837,0.0032431119,0.1020087561,0.0004984898,1.17764e-05,0.0001764834,,0.4663025041,0.0312201772,5.2e-09,,1.62229e-05,0.0016322423,,,2e-10,,3.84199e-05,0.0001434771,,,0.0006731931,0.00125629,,,0.0,0.0,0.0,,0.0004012221,,,,0.0,,0.0010969189,8e-10,0.0,,2e-10,,,0.0,,,,1.139e-07,0.0,,,,,0.0,,,0.0,2.9036e-05,,,,,,,,0.0,,,,0.0003608736,0.0,,,,,4.6408e-06,0.0,0.0,,0.0,,0.0001410581,,0.0003924478,,,0.0011352177,,,,,0.0019074311,0.0,,,0.0,,0.0,,,0.0,0.0,,,,0.0,2.46481e-05,,0.0,,,,,,,,,,,0.0,,6.4468e-06,,,,,,0.0,,0.0,3.857e-07,,,,0.0,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05e-08,,,3.8e-09,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnezone,1398223,164886,0.0,2.3996e-06,0.0,4.1944e-06,4.7e-09,0.2051863941,0.0434900347,6.4029e-05,0.0143512733,0.002307343,0.0,0.0003583369,0.0006419949,,,0.0667013436,9.7831820988,8.0577757586,5.3752473236,0.1588819441,1.4248e-06,0.0,23.2174175115,0.0277251859,2.25e-08,1.005e-07,0.0,0.0079211374,0.0,6.4684e-06,0.0,0.2281740761,0.0,156.3530207724,3.513e-05,254.8117627091,23.324030051,0.0,3.05642e-05,,6.87877e-05,0.0252308865,,0.0,7.84682e-05,0.0,,,0.0,,0.0077135007,0.0008275466,,10.4404929296,0.0028043598,0.0175686215,,0.0012920329,0.0754677981,0.0,0.0,,1.3509e-06,6.7e-09,,0.0009902125,0.0,,0.0,0.0093815462,0.0341563315,,,0.0,,,,,,0.0028359709,1e-10,,0.0,,,,,0.0026169924,1.8573549696,0.0,0.1882216711,0.0147542727,0.0023592027,,0.0021084679,,0.0,0.0,,,0.0005521529,0.3636836983,0.9012355746,,,,,0.0,,1.996e-06,,,,,,,,,,,,,6.3e-09,,0.0,0.0,,,,4e-10,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volcanion,1398223,30824,0.0,,2.471e-06,0.0,3.82588e-05,0.0007597195,,0.0,3.9838e-06,0.0,0.0,,1.041e-07,,,,0.1017503268,0.6513454042,0.0030014151,0.0240987174,,,,0.0001482381,0.0,1.4e-09,0.0,6.3e-09,1.3e-09,,0.0,6.0983321182,0.52258105,17.8224252619,0.0003108024,0.3162078949,0.0160965533,0.0,0.0002074354,0.0002141397,6.18e-08,0.1145079592,,,0.0,8.2e-09,,,0.046398914,,2.39334e-05,0.0,,,7.8842e-06,0.0228484158,0.0,,,,8.38e-08,,0.0,,1e-10,,,,,3.369e-06,,,,,,0.0,,,,,,,0.0,,,,,2.44214e-05,0.2502885368,,,0.0,,,,,0.0,,,,,,0.0,,,,,8.6157e-06,,,0.0,,,,0.0,,,0.0,,,,0.0,,,,,0.0030863435,,,,1.36357e-05,,,,,,,,,,,,,,,,,,,,5.2719e-06,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhyperior,1398223,25356,,0.0,,,0.0009063641,0.0183412307,,8e-10,0.0440460119,0.0410675674,,,0.0,,,,7.15223e-05,0.0938817107,0.0023177416,0.4035471741,,0.0,4.222e-07,0.0001043629,6.9e-09,7.53e-08,0.0,0.9632894945,0.0,0.0,,0.028399153,0.0,0.0300583593,0.0007206197,17.1635764232,5.11e-08,3.3e-09,2.29993e-05,,,0.0409672757,,,0.0,,,,4.188e-07,,0.0,0.0006997662,,,0.0004814539,0.3538261783,,,,,,,0.0,,,,,,,0.0,,1e-10,,0.0,,,,,,,0.0,,,,0.0,,,0.0,5.1e-09,,,,,,,,0.0,0.0,,0.0,,,2e-10,,,,0.0003624757,0.0,,,,,,,,,,,,3.18e-08,,4.5211e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3343615015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5044321327,,,,,,,,,,,,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latios,1398223,105374,2e-09,0.0001864849,0.0,0.0,2.9877e-06,3.48672e-05,0.0288458452,2.1697e-06,2.52756e-05,7.56e-08,,0.0,0.0001527043,,,,,0.0202815295,0.1310113503,12.8243818105,4.61e-08,,,0.0723768938,3.7411e-06,,,0.0004349068,,0.0,0.0,0.1093467741,0.000179175,73.3783500357,0.0,5.6981497064,16.2410613022,0.0,5.1e-09,0.0023814662,0.0001719807,0.0365829982,0.0,,0.0,0.0001524604,0.9147305896,,3.57359e-05,,0.0368451419,0.0,,0.0,0.0001107398,1.2381416297,,,,0.0,0.0,,0.0,,0.0,,,,2.4343e-06,0.0,,,0.0,,,0.1280246463,,,,,,,0.051391187,,,,,0.0030823365,,,0.3560799184,0.0,,,,,,,,,,,,,1.25e-08,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,1.4e-09,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7.9131e-06,,,,,0.0051006447,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,7.6217821253,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapu Bulu,1398223,29112,,0.0,,,,0.0337792954,0.0226426954,0.0,8.69219e-05,1.517e-07,0.0,,0.0,,,0.0132344071,,0.0908753129,4.77971e-05,13.5549164835,,,,0.0118673281,,0.0,0.0,7.0562274978,0.0,4.60341e-05,,0.1149902012,4.385e-07,0.0001137698,0.0,5.8712368344,0.3168570767,6.7722e-05,0.0,,,0.0118398575,,,4.204e-07,,0.0,,,,0.0012239952,3.0103e-06,,,8e-10,6.09e-08,7.7e-09,,,0.0,1.12521e-05,,2.9e-09,,,,,,,0.0,0.4212147288,0.0,,0.0001400776,,4.27e-08,,,,0.0,,,0.0,,,,,,,,0.0,,0.1984800105,,,,,,,,,3.32e-08,0.0004182301,,,,,6.141e-07,,,,,,,,0.0006293905,,,0.311561238,,,,,0.0006681049,0.0,,,,1e-10,,,,4.244e-07,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,1.3454e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17564e-05,,,5.221e-07,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incineroar,1398223,36996,0.0,3.0383e-06,,8.4e-09,,0.0231196398,,0.0168748369,0.0118619093,4.27e-08,0.0,,4.253e-05,,,0.0,0.0025997827,0.4834701194,0.0041051767,0.0241081457,,,0.001730186,0.0909900852,0.0,0.0004565114,2.473e-07,0.0690912932,4e-10,,,34.0541847955,0.0,2.22e-08,0.0,0.214600815,0.0609028784,4.59237e-05,7.836e-07,5.375e-07,0.0,0.0008136054,0.0,3.8e-09,2.0205e-06,0.0,,,,0.0001079762,0.0107615244,0.0,,,0.1434175558,0.0892833812,,0.0,0.0,1.49e-08,1.731e-07,,0.0,7.25665e-05,,,,,,,0.0,,0.0325799888,0.0001104104,,0.0,,,,,0.0,,0.0022158114,0.0,,,0.0,6.68795e-05,3.36695e-05,0.0,,0.0,,,,,,,,,8.04726e-05,,0.0001759198,,,0.0,0.0,0.0,,,3.658e-07,0.0002184189,,,0.0,,,,,,,0.0,,,0.0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,,,,8.77445e-05,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moltres-Galar,1398223,29234,,0.0029184876,0.0021414666,0.0,0.0,0.0069075251,,0.0,3.17597e-05,3.00584e-05,1.09412e-05,,0.010909714,0.0,,0.0081823378,2.3077e-05,0.021018315,0.0004568311,0.0052603292,,,0.0,0.0278007864,0.0,0.0001761644,,7.11e-08,5.1227e-06,,,199.3205165986,0.0048176465,0.1228773709,0.0,0.5127462962,0.0015487857,,8e-10,,4.6e-09,0.0094105687,3.991e-07,,0.0,,,,4.189e-07,0.0,4.0743646489,1e-10,,,0.1473083438,6.6228177978,,,1.46644e-05,0.0,1e-10,,0.0979572137,,3.911e-07,,0.0,,,0.0860257039,,,0.0020460677,,5.1e-09,,,,,,0.0226925434,,,8.7e-09,,,,6.65088e-05,,,,0.0,,,,,0.0,0.0,,,,,0.0304272336,,,,,0.0,,,0.0,1.352e-07,,,,,,,,,0.0,,0.0,,,3e-10,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Araquanid,1398223,20016,,,,0.0008243071,0.0,0.0181502017,6.4078e-06,7.48386e-05,7.14601e-05,0.0,,0.0,2.436e-07,,,,,0.0141927395,4.89053e-05,0.0402184914,,,,0.2684453959,,0.000100965,,0.0607496957,0.0,,0.0205538349,6.3965309966,0.0,4.52646e-05,,1.9576985716,0.0001487267,0.0,1.35974e-05,0.0,0.0,9.7941178874,,0.0,3.1e-09,,,,0.0,,1.10285e-05,0.0,,,0.0027056804,0.00020989,,,1.2e-09,2.9178e-06,0.0,,0.0,,5.1e-09,,,,,2.08575e-05,,,,0.0095178453,,,,,,,,1e-10,0.0,0.0011727764,,,,,,,,,,,,,,,,,,,0.0582891269,,,,,,,,,0.0,,,1.695e-07,1.758e-07,0.0,,,,,0.0,,0.000960129,,,0.3451028762,,,,1.1e-09,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,2.627e-06,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moltres,1398223,65830,,0.0,0.0,0.0,,0.0110790156,0.0,3.627e-07,0.0003925132,2.2308e-06,,0.0,7.88057e-05,,,,0.0,0.076631118,5.19343e-05,0.0689979707,,0.0,,0.0020361704,,8.729e-07,0.0001391828,2.2e-09,0.0,0.0,,114.2788682431,9.86e-08,0.0054914602,4e-10,0.1702965871,0.0545829839,0.0,0.0017328163,5.9292e-06,1.3e-09,2.78149e-05,0.0006102398,,4.5112e-06,,,,0.0,,2e-10,0.0,,,0.0015566952,0.0006924825,,,,0.0,,,0.0,,0.0,,,,0.0,,,,,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0003058254,,0.0,,5e-10,,,,,,,,,,,0.0,0.0,,,2.8e-09,,2.255e-07,,3.251e-07,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloyster,1398223,105333,0.0022832939,0.0,,0.000394272,0.0,0.0157847912,3.17386e-05,6.325e-07,0.00043263,3.14048e-05,0.0,6.5e-09,0.0,,0.02544673,,2.04e-08,0.0054940677,0.0417958765,0.364930961,0.0,,0.0,0.0005020064,0.0443563434,0.0,,0.0126950345,92.8102803731,,0.0,8.4334867008,1.1673e-06,0.0001160494,0.0,0.02469759,0.0071913472,2.1363e-06,2.16872e-05,0.0,0.0012801289,11.0621570015,0.0147510302,8.976e-06,0.0,1.3590553395,,0.0,0.0018921481,0.0,4.26476e-05,,,,1.84782e-05,0.0028819328,,,,0.0008402894,0.0006375528,,0.0026597179,2e-10,0.0,,0.0,,0.0,,,,0.0,0.0021599652,,1.19e-08,,,,1.99277e-05,,,0.0,0.0,,,,,,,,,,,,,,7e-10,,,,,0.0004853547,,,,,,,,,0.0,,,,,7.806e-06,1.237e-07,,,,,,,,0.0,6.82993e-05,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,5.1493e-06,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tauros,1398223,8040,2.8794e-06,,,,,1.2454e-06,,,1.1965e-06,0.0,,,,,,,0.0,0.0013958319,0.0,0.9339396844,,,0.0,2.0793e-06,,0.0,0.0,0.0548852214,0.0,,,1.8451e-06,0.0013376493,0.0012741436,0.0,4.23011e-05,0.0015883864,,0.0,1e-10,,0.0,,0.0014314983,0.0,0.0,,,,,0.0,6.18514e-05,,,0.0,0.0,,,,,,,0.0017939574,0.0,,,,,0.0,0.0,,,,0.0,,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
