pokemon,number_of_battles,Raw count,Items_scopelens,Items_chopleberry,Items_rockmemory,Items_petayaberry,Items_mentalherb,Items_pechaberry,Items_rockyhelmet,Items_ironball,Items_figyberry,Items_focussash,Items_oranberry,Items_pixieplate,Items_toxicorb,Items_absorbbulb,Items_wikiberry,Items_spelltag,Items_widelens,Items_dragonmemory,Items_chestoberry,Items_grassyseed,Items_airballoon,Items_assaultvest,Items_lifeorb,Items_blackglasses,Items_expertbelt,Items_aguavberry,Items_adrenalineorb,Items_weaknesspolicy,Items_sitrusberry,Items_damprock,Items_heavydutyboots,Items_blukberry,Items_choicespecs,Items_oddincense,Items_razorclaw,Items_leftovers,Items_choicescarf,Items_redcard,Items_quickclaw,Items_laggingtail,Items_wiseglasses,Items_nothing,Items_enigmaberry,Items_silkscarf,Items_eviolite,Items_leppaberry,Items_ejectbutton,Items_metronome,Items_zoomlens,Items_powerherb,Items_roomservice,Items_blunderpolicy,Items_laxincense,Items_magnet,Items_choiceband,Items_lumberry,Items_iapapaberry,Items_flameorb,Items_throatspray,Items_brightpowder,Items_shellbell,Items_powerlens,Items_salacberry,Items_normalgem,Items_wacanberry,Items_safetygoggles,Items_psychicseed,Items_charcoal,Items_yacheberry,Items_magoberry,Items_ovalstone,Items_keeberry,Items_electricseed,Items_protectivepads,Items_muscleband,Items_shockdrive,Items_roseliberry,Items_heatrock,Items_kingsrock,Items_leek,Items_sharpbeak,Items_heavyball,Items_mistyseed,Items_darkmemory,Items_whiteherb,Items_marangaberry,Items_fullincense,Items_healball,Items_chartiberry,Items_custapberry,Items_blacksludge,Items_payapaberry,Items_poisonbarb,Items_blackbelt,Items_focusband,Items_shucaberry,Items_metalcoat,Items_lightclay,Items_tr25,Items_colburberry,Items_apicotberry,Items_terrainextender,Items_stickybarb,Items_kasibberry,Items_machobrace,Items_luminousmoss,Items_ringtarget,Items_masterball,Items_smoothrock,Items_occaberry,Items_starfberry,Items_silverpowder,Items_hondewberry,Items_berryjuice,Items_twistedspoon,Items_firestone,Items_passhoberry,Items_firememory,Items_cheriberry,Items_bindingband,Items_ejectpack,Items_rowapberry,Items_bigroot,Items_bugmemory,Items_miracleseed,Items_hardstone,Items_ganlonberry,Items_utilityumbrella,Items_lansatberry,Items_babiriberry,Items_cobaberry,Items_liechiberry,Items_energypowder,Items_lightball,Items_electricmemory,Items_gripclaw,Items_electirizer,Items_mysticwater,Items_souldew,Items_fightingmemory,Items_nevermeltice,Items_poisonmemory,Items_poweranklet,Items_beastball,Items_flyingmemory,Items_rockincense,Items_dragonfang,Items_grepaberry,Items_rawstberry,Items_snowball,Items_watermemory,Items_softsand,Items_shedshell,Items_aspearberry,Items_grassmemory,Items_tr24,Items_greatball,Items_cellbattery,Items_ghostmemory,Items_fossilizedbird,Items_rindoberry,Items_seaincense,Items_waveincense,Items_floatstone,Items_jabocaberry,Items_fairymemory,Items_powerweight,Items_habanberry,Items_adamantorb,Items_steelmemory,Items_tangaberry,Items_magmarizer,Items_icyrock,Items_kebiaberry,Items_duskstone,Items_destinyknot,Items_flowersweet,Items_psychicmemory,Items_quickpowder,Items_levelball,Items_micleberry,Items_protector,Items_powerbelt,Items_powerbracer,Items_upgrade,Items_dragonscale,Items_fossilizeddrake,Items_pokeball,Items_parkball,Items_ultraball,Items_groundmemory,Items_persimberry,Items_rustedsword,Items_bottlecap,Items_galaricacuff,Items_ribbonsweet,Items_goldbottlecap,Items_berrysweet,Items_rarebone,Items_leafstone,Items_rustedshield,Items_roseincense,Items_icememory,Items_sweetapple,Items_tr64,Items_prismscale,Items_metalpowder,Items_chilanberry,Items_diveball,Items_thickclub,Items_pinapberry,Items_whippeddream,Items_deepseascale,Items_shinystone,Items_duskball,Items_fastball,Items_chippedpot,Items_tr43,Items_dreamball,Items_kelpsyberry,Items_icestone,Items_tr71,Items_lustrousorb,Items_premierball,Items_luxuryball,Items_tr78,Items_tr16,Items_netball,Items_sunstone,Items_tamatoberry,Items_powerband,Items_cherishball,Items_repeatball,Items_waterstone,Items_pomegberry,Items_dubiousdisc,Items_tr98,Items_tr69,Items_tr10,Items_deepseatooth,Items_quickball,Items_fossilizedfish,Items_griseousorb,Items_burndrive,Items_loveball,Items_starsweet,Items_tartapple,Items_lovesweet,Items_thunderstone,Items_chilldrive,Items_tr00,Items_reapercloth,Items_tr89,Items_tr99,Items_sachet,Items_qualotberry,Items_crackedpot,Items_tr88,Items_tr53,Items_tr15,Items_dawnstone,Items_tr02,Items_safariball,Items_tr08,Items_tr01,Items_tr32,Items_tr19,Items_tr46,Items_tr42,Items_sportball,Items_tr55,Items_dousedrive,Items_tr75
Nidoqueen,1336739,8576,,,,,0.0,,1.9368166616,0.0,0.0,0.0003333536,1e-10,,1.2e-09,,,,,,0.0001933325,,0.0,0.5246443548,3.0513310533,,0.0013451711,0.0,,0.0,0.0,,1.23552e-05,,7.814e-07,,,0.0025541784,0.0005315893,7.29807e-05,0.0,,1.64e-07,1.03e-08,,,3.14818e-05,,0.0,,1e-10,0.0,,0.0,,0.0,0.0005691923,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,,,,,,,,1.18e-08,,,,,,,,,,,,,3.5738481262,0.0,2.6376e-06,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinccino,1336739,9696,0.0005512144,4.8655e-06,,,,,0.0,,0.0046999393,0.0004444996,,,0.0002131522,,,,0.0008445106,,0.0,,,0.0049724537,0.0418887271,,0.0008828974,1.9234e-06,,,1.88e-08,,2.4445e-06,,0.0,,0.0024747493,0.0076974942,0.0588478049,,,,,3.94042e-05,,0.0002501755,,,,1.72733e-05,0.0,,,0.0,,,0.1962673511,,0.0,9.849e-07,,,0.0,,0.0,1.42096e-05,,,,,,0.0,,,0.0,6.85615e-05,0.0,,,,0.4980344016,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regidrago,1336739,13095,3.96e-07,,,,0.0,,0.0011336772,,8.72294e-05,0.0031575876,0.0,,0.0,,0.0,,,0.0,4.48357e-05,,,1.51515e-05,1.4747024531,,0.000278776,6.17522e-05,0.0,0.0007766081,8.6428e-06,,0.0045094537,,0.6200778804,,1.45873e-05,0.0662838251,3.445198661,0.0,4.68552e-05,,0.0,0.0019559432,,0.0,0.0005000164,,,0.0020527835,,,,,,,0.2044978304,0.0098920782,0.0,3e-10,,6.9e-09,0.0,,1.63006e-05,0.5923490908,,,,,2.92073e-05,7.32e-08,,,0.0,0.0,2.64954e-05,,2.547e-07,,0.0,,,,,,0.0,,,,,2.697e-07,,,,0.0,,,,0.0006438285,,,,,,,,,,0.0,,1.9e-09,0.0,,,,,,,,,,0.0020129356,,,,,,,,,,,0.0046374584,,,,,,,0.0,,,,,,,,0.0691965614,,,,,,,,,,,,,,4.1489e-06,,,,,,,2.57777e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpedo,1336739,10340,0.0870075731,,,2.90993e-05,,,0.011220193,,0.0,0.1128121362,0.0,,,0.0,0.0,,,,,,,0.0099040841,2.8786629408,9.2803e-06,0.0333211841,9.35002e-05,,0.1096650387,8.744e-07,,0.0528846726,,3.80583e-05,,4.4e-09,0.0030677965,0.0048229344,3e-10,0.0,,,6.88e-08,,,0.0,,,0.0005366197,,,,,,,0.1113725625,9e-10,0.0,,0.0,5.5e-09,,,8.1327e-06,,,,,,,1.2e-09,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,2.16e-07,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,5.6485e-06,,,,,,0.0004779272,,,0.0,,,,,,,,,,6.463e-07,,,,,,,7e-10,,,6.37e-08,0.0,0.0,,,,,,,,,,8.7367e-06,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scolipede,1336739,18841,0.0,,,0.0,5.5684e-05,,0.000642481,,0.0004713648,0.4282797662,,,,,9.5e-09,,3.30934e-05,,0.0005889755,5.7e-09,0.0,0.0333003645,6.4953019853,0.0001845123,0.0003852534,0.0249599972,,0.3735927078,2.4785e-06,,1.0835078044,,0.0,,1.05103e-05,0.1590713317,2.5916e-06,0.0,,,,5.6376e-06,,,,,,0.0006076451,,0.0,,,,,0.0162697173,5.215e-05,1.2e-09,,,0.0,8.38986e-05,,0.0,,,,,,,0.0,,,0.0206616718,0.0007011958,1.01e-08,,,,0.0,,,,,,0.0,,,,,,0.0742077103,0.0,7.86076e-05,0.0,0.0,,,,,,,,,,,,0.0,,,3.689e-06,,0.0328037718,,,,,,,,,,,,0.0,0.0,,,,,0.0157570172,7e-10,0.0001062305,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.1e-09,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aggron,1336739,13695,0.0,0.0026346228,0.0,,1e-10,0.0,0.035518328,0.0,2.31521e-05,0.0038167414,,,,,0.0020155092,,5.02208e-05,,0.0020022523,0.0,0.0061836002,0.003422701,0.0023909572,7.45e-08,1.95839e-05,0.0155847224,,0.0183437733,4.708e-07,0.0004182795,0.000645943,,0.0,,4.8e-09,0.0279518186,0.0001030794,4.6628e-05,1.0409e-06,1.9845e-05,,9.7161e-05,,,3.1404e-06,,,,0.0,0.0003036628,,0.0,,,0.1687201688,0.0,5.15448e-05,,,,2.4897e-06,,0.0,,,0.0,,,0.0,1.15222e-05,,2.01681e-05,,0.0,1.64435e-05,,,,0.0,,,,,,0.0,0.0,,,,0.926358915,,,,0.0,0.0004325056,0.0004239685,0.0014252408,,,,,,4.95e-08,,,,,,,0.0,0.0,,,,,,1.129e-07,,,,,,,,,1.767e-07,0.0,,,,,0.0018547711,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slowbro,1336739,168297,0.0,,0.0,,6.0098e-06,0.0257646782,123.0845781609,4.4485e-05,2.12e-06,0.0933442355,,,0.0002948756,0.0,0.0379624029,,5e-09,,0.0088467366,2.71e-08,0.0,11.9807136385,1.0518503774,,0.2502487212,0.0128247271,,5.7609e-06,0.0627546462,2.49677e-05,104.9080601371,,9.6622203012,0.0,0.0,8.7229119976,0.3500436526,9.80853e-05,10.2758307375,0.5997573234,5.76621e-05,0.1013271275,,,0.1975912723,1.57636e-05,0.0110003001,0.0,4.647e-07,0.0,0.0002027346,2.2917e-06,,,1.61e-08,0.0229175123,0.0023225249,0.000170192,,0.152645446,9.77478e-05,,1.217e-07,,0.0003482781,0.122452978,0.0,1.0513e-06,0.0,8.28375e-05,,7.38741e-05,0.0033198961,,,,,0.1281752856,0.0016265345,0.0002914591,,0.0,,,0.0,0.0,2e-10,,0.0,,0.0,,,,0.0,,,0.014761283,,20.3272717752,,0.1472815183,3.5778e-06,2e-10,,,0.0001325378,0.0,0.0,,0.0006063556,,,0.0,0.1056594153,,,,,,,0.0012311546,,,,,,0.0,,,,,,,,,,2.31829e-05,,,,,,,,0.0,,,,,,,7.3103753558,,,,,0.0,,,0.0829652343,1.2713e-06,0.0,,0.0,,,,,,,,0.0010350774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0010898915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heliolisk,1336739,13044,,0.0,,,,,0.0,,0.0,0.0116555599,,,1.67525e-05,0.0042680982,1.29313e-05,,,,0.0,,0.00310209,0.0060845739,0.6525849684,,0.1335426731,1.04319e-05,,1.47e-08,2.05729e-05,0.0309383573,0.0063077941,,0.5683930147,,,0.0704214431,0.2356529785,0.0001902476,1.3067e-06,,6.686e-07,0.0003501792,,5.9858e-06,,,4.02218e-05,0.0,,0.0,,1.25e-08,5.9122e-06,0.0218259226,0.0,0.0,0.0,,0.0501734138,0.0037812667,0.0,,,,,0.0,,,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0001002856,,0.0,0.0,0.0,,,,,,,,,,,,,,5.7e-09,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celebi,1336739,6207,3.0524e-06,,,,0.0,,0.0003551886,0.0,1.87751e-05,0.4072489033,0.0,,0.0,3.1e-09,0.0005753335,,0.0,,,0.0,,0.0040967911,0.0783998042,,2.15475e-05,0.0036756276,,0.0001251851,4.667e-07,,0.0115160546,,0.0032708234,0.0,0.0011074432,0.2125216037,0.0491132089,0.0,0.0,,0.0,0.0006401955,,,0.0,,7.7e-08,6.5018e-06,,0.0,0.0,5.57e-08,,,0.0016104916,0.0,3.04005e-05,0.001294441,,2.7052e-06,,,0.0,,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,3.52603e-05,,0.0612040379,,0.0,0.0,0.0,,,,,,0.0003745133,,,,,0.0,,,,,,0.0,,5.78881e-05,,0.0003801547,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,6.414e-07,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcanine,1336739,27352,0.0,,,7.95e-08,0.0,,0.1459426893,,2.66235e-05,0.004422961,0.0,,0.0002550273,1.1446e-06,4.82635e-05,,0.0,,0.0,,0.0005852526,0.1139345582,0.0695583583,,0.2572501344,0.0032173874,0.0,0.0108685915,0.0146774061,,4.2413828599,,8.83906e-05,,0.0025775706,0.094955139,0.0075179431,5.42524e-05,4.60149e-05,,0.0,5.57996e-05,9.59e-08,0.0,1.565e-06,,0.0,0.0,3.416e-07,0.0167883313,,0.0,,,1.4124799017,4.5e-09,0.0023041365,0.0017776466,0.0,0.0,0.0007290765,,,6.9e-09,,0.0001930675,,0.0008951072,,0.0012294508,,,,0.0,2e-09,,,0.0005904854,0.0,,,,,,7.50595e-05,0.0,0.0,,0.0,5.89522e-05,,,,0.0022358246,,1e-10,,0.0058803299,,0.0,,,,,,,,,,0.0,0.0,,,2.86e-08,,,0.0020352713,0.0,,1.97e-08,3.8146e-06,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omastar,1336739,8999,,,,0.0,1.1623e-06,,0.0006269172,,9.69067e-05,5.7119978575,,,,,,,0.0,,,,0.0029115662,0.0024866396,0.0005421232,,3.95733e-05,0.0011427271,0.0,1.0763e-06,7.4e-09,9.4e-09,0.0,,0.0002398867,,,0.0066154985,0.0,,0.0,,,6.3e-09,0.0,0.0,4.32344e-05,,,0.0,,18.3027491037,,,,,,,7.93e-08,,,,4.3e-09,,,,,,,,,0.0,,,,1.292e-07,,,,,8.88232e-05,,,,,,0.0933336468,,,,,,,,,,0.0,,,,,1e-08,,,,,,,,,0.0,,,,,0.0006107525,,,,,,,0.0,,,,,0.0,,,,,,,,,,2.8234e-06,,2.3064e-06,,,,,,,,0.0,,,,,0.0,,,,,,,,,,8.62e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsola-Galar,1336739,17894,,,,,0.0001358827,,0.009488586,,,0.0001105364,,,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,,,0.0047235891,0.0,0.0,,,,2e-10,,,2.5260746154,,,0.0,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyukumuku,1336739,9583,,,,,0.0018476351,1.577e-07,0.7005960902,0.0,0.0,2.9e-08,,,,,0.0,,3.423e-07,,1.05e-08,,,0.0001677404,,,,0.0003415716,,2.1e-09,0.00126973,0.0,2.8347782058,,,,,1.107040294,0.0,1.289e-06,0.0,,,4.4895e-05,0.0,,0.0,2.7e-09,0.0,,,,,,0.0,,0.0,0.6275840887,0.0,0.0003029632,,3.0725e-06,0.0,,,,1e-09,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,5.53e-08,,,0.0070643343,,,,,0.0,,,,,,,,,,,,,,,,,,,1.10794e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victini,1336739,97891,0.0,,,7.108e-07,0.0,,1.59634e-05,0.0094261395,0.0003024313,0.059552124,,2.4e-09,0.0002050972,2.15789e-05,0.001813286,,0.0260569436,,0.0101979925,0.0,0.0128643722,2.1443812316,0.4985583566,,0.1315201723,0.0272485317,0.0,0.0069005791,0.0013503352,,126.4559683226,,0.3040460801,0.0,0.0,0.0665560128,34.0205575373,0.0,0.0001291164,,9.588e-07,0.0063130662,,,3.505e-07,,0.0,1.8661458971,7e-10,3e-10,0.0101399967,0.0099329667,0.0,,48.7323358133,0.0002546351,0.0050473013,4.3469e-06,0.0030390562,0.0,0.0,,0.0005056552,0.0,3.65337e-05,,8.363e-07,0.1917159053,,2.6724e-06,,,,8.24e-08,0.0024706324,,,0.0,7.132e-07,,,0.0,,,0.0420578137,0.0,,,,0.0,0.0,,,2e-10,,0.005596593,,0.0,,2.16847e-05,,,,,0.0,,2.9772199002,0.0,,,,,,,,,1e-10,0.0,,0.0,0.0003558051,,,0.0,,,,5.4944e-06,,,,0.0,,,,3.92861e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10836e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cofagrigus,1336739,7667,,,,,0.0048343439,,0.4274605723,0.0,0.0005093518,0.0025348663,0.0,,0.0,,0.0,7e-10,,,0.0587131471,,0.0,0.0008032673,0.0035847949,,0.0,0.0021070783,,2.9254e-05,0.0006381272,0.0,0.0006145064,,0.0,,,0.2047677058,0.0007093165,0.0019753095,0.0,7.11892e-05,,0.0003042905,0.0,,0.006826221,,0.0,,0.0,,,,,,0.0002575975,0.0,0.0,0.0,,,,,,,,0.0,,,,4.78256e-05,,,0.0,,,,,,,,,,0.0054786914,,,,1e-10,,,0.0003999274,,,,,,,,,,0.0003556434,,,0.0,0.0,6.92733e-05,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venusaur,1336739,72164,0.0,,,,0.0,,0.0277038039,,5.30244e-05,0.0299860136,,,8.327e-06,0.0001293114,6.36889e-05,,0.0060109692,,0.0003924681,0.000215071,3.39934e-05,0.096824117,51.8267512116,0.0,0.0029322773,0.0053185184,0.0,0.0107373671,0.0020021422,,0.0166992655,,0.0021179471,,0.0,4.4588776767,0.0137351207,0.0,9.83e-08,,0.2255341403,0.0011014129,0.0,,0.0089610059,,0.0,0.0,8.9e-09,0.0292373272,,0.0104599434,0.0,,7.05354e-05,0.1796219308,0.000311337,0.0,,1.92e-08,0.0,,1e-10,,,0.0,,0.0,7e-10,6.16032e-05,,,,,,,,0.0070735118,0.0001869115,,,,0.0,,0.0,,,,,,2.859728047,0.0,0.0031060091,,1.3e-09,0.0,,4.8282e-06,,,0.0,,,,,,,1.417e-06,,0.0011174148,0.0,,,0.0,,,,,,,,,0.0068694411,,0.001768636,,,,,0.0,0.0008087727,0.0,,,,5.978e-07,,,,,,,,,,,,0.0,,,,0.0,,,3.142e-07,,,,,,,,,1.893e-07,,,,,,,4e-10,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrafty,1336739,9254,0.0,2.0238650806,,,,0.0,9.73762e-05,,0.0007210316,0.0774631795,,,,,0.0,,4.2388e-06,,0.0026086429,,0.0,0.042741171,0.0106693204,0.0271841043,0.0006090585,0.0555106134,,0.0061884581,0.0001621175,,0.0331936277,,,,,0.3340751268,2.43632e-05,0.0,0.0,,,5.87674e-05,,,0.0,,,0.0,,,,0.0014913601,,,1.3849e-06,0.0396183557,7.7371e-06,0.0,,,0.0049275276,,7.1e-09,,,,0.0,,,0.0,,,,0.0,0.0004926506,,0.9236501293,,0.0,,,,,,,0.0,,,,,,,,1.43258e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0019319861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diancie,1336739,7970,0.0,,,,0.0245574835,1.7e-09,0.0081735163,,0.0,0.0307616454,,4.372e-07,0.0,0.0085315893,0.0,,7.5196e-06,,0.0,,8.383e-07,0.0291784569,0.0006126734,,0.0064804426,5.818e-06,0.0,0.0093785705,4.4514e-06,,4.3e-09,,0.0085155012,,,0.3260406591,9.3e-09,5.59265e-05,0.0011128012,,,9.022e-05,2.8e-09,,0.0,0.0001711566,,3.88177e-05,,0.4444350369,0.0,0.0,0.0,,0.0392702106,9e-10,0.0,,,0.0,0.0,0.0,0.0,1.301e-07,,,0.0,,,,,0.0,,,,,,0.0036973152,0.0,,,,,,0.0,0.0,,,,0.0012037909,,,,,,0.0932171359,,0.0025013705,,,,,,,,,,,,,,,,,,,,,,,,,1.24e-08,,,9.2393e-05,,,,0.0907439163,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnezone,1336739,159484,1e-10,41.3068979433,,0.0003020695,0.0,,0.3708858725,1.1584e-05,2.7426e-06,0.7653752933,0.0,,,0.0,0.0002276341,,0.0010326384,,0.0104792512,9.5909e-06,7.9344621084,59.0419678768,0.291897981,7.5e-09,65.1720581578,0.0155308965,0.0001180584,0.0004772106,0.0063715506,0.0,0.1621881502,,117.4020527014,,0.0,189.7996304277,25.2954598305,2.561e-07,0.0005632066,0.0005438075,0.0076583868,0.1077031477,0.0003694348,,2.8771e-06,,2.7694e-06,0.0003554183,0.0201413893,1.211e-07,,0.0036722331,0.0,1.4419637746,0.0006808831,0.0032452512,0.0807159971,3.63035e-05,0.3609217956,0.0,0.0003352625,2e-10,0.0089962565,3.03652e-05,,,0.0,0.0,,8.52036e-05,,0.0210473881,7.60667e-05,3.90419e-05,,,,7.7176e-06,0.001332862,,0.0,,,,0.0,,2.02075e-05,,,9.5279050936,,,,7.2369e-06,2.3936e-06,0.0697928176,3.3240598382,0.1184599465,,1.63e-08,,1.50238e-05,1.4868e-06,,0.0,,,0.0,,1.5323720457,0.0005935442,,,0.0004321765,,,0.0,,,,0.0,,,,,,0.0,,,0.0,,,0.0,1e-10,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,1.01e-08,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhyperior,1336739,23619,7.84e-08,1.494e-07,,,,,0.0049527599,2.619e-07,0.0,0.0234387875,,,,,0.0,,2.2266e-06,,0.0038624971,0.0,0.0050473146,0.2644390665,0.1916649365,,0.003382495,1.9046e-05,0.0,0.4351574747,0.0008803388,,2.00657e-05,,0.0477371559,,,7.0605873659,6.439e-07,0.0,8.808e-07,,,0.0020351815,,,,,0.0,4.03185e-05,2.5e-09,0.0,0.0,8.62e-08,,,18.2463913197,4.1e-09,0.0001254004,,,,3.87931e-05,,5.22578e-05,,,,,,0.0,2.25039e-05,,,,,0.0,,,,0.0,,,,,,0.0,,,,3.5696e-06,1.9625e-06,,,,,1.55764e-05,2.24e-08,,,,,,,,,,,,,0.0,,,,,,,,0.0071658324,,,,,,,,,0.5124309276,,,,0.0,,,,,,,,1.0513e-06,,,,,,,,4.17414e-05,,,0.0,,,0.9288371161,,,,,,1.23327e-05,,,2.7024439943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
