pokemon,number_of_battles,Raw count,Items_petayaberry,Items_blackglasses,Items_cellbattery,Items_metalcoat,Items_chopleberry,Items_firememory,Items_rockyhelmet,Items_magoberry,Items_beastball,Items_focussash,Items_razorclaw,Items_toxicorb,Items_wikiberry,Items_chestoberry,Items_grassyseed,Items_airballoon,Items_assaultvest,Items_expertbelt,Items_lifeorb,Items_sitrusberry,Items_stickybarb,Items_floatstone,Items_mentalherb,Items_aguavberry,Items_ironball,Items_weaknesspolicy,Items_scopelens,Items_kingsrock,Items_adrenalineorb,Items_charcoal,Items_heavydutyboots,Items_powerherb,Items_choicespecs,Items_widelens,Items_nevermeltice,Items_leftovers,Items_mistyseed,Items_choicescarf,Items_redcard,Items_quickclaw,Items_berryjuice,Items_flameorb,Items_wiseglasses,Items_prismscale,Items_liechiberry,Items_nothing,Items_silkscarf,Items_electricseed,Items_eviolite,Items_ringtarget,Items_metronome,Items_zoomlens,Items_blacksludge,Items_iapapaberry,Items_blunderpolicy,Items_fullincense,Items_powerweight,Items_choiceband,Items_lumberry,Items_roomservice,Items_laggingtail,Items_throatspray,Items_brightpowder,Items_shellbell,Items_custapberry,Items_salacberry,Items_normalgem,Items_wacanberry,Items_psychicseed,Items_lansatberry,Items_pechaberry,Items_yacheberry,Items_figyberry,Items_poisonbarb,Items_rowapberry,Items_protectivepads,Items_ganlonberry,Items_roseliberry,Items_heatrock,Items_whippeddream,Items_keeberry,Items_sharpbeak,Items_damprock,Items_darkmemory,Items_enigmaberry,Items_heavyball,Items_whiteherb,Items_rockincense,Items_marangaberry,Items_safetygoggles,Items_laxincense,Items_mysticwater,Items_chartiberry,Items_goldbottlecap,Items_payapaberry,Items_blackbelt,Items_shedshell,Items_muscleband,Items_bigroot,Items_focusband,Items_cobaberry,Items_shucaberry,Items_silverpowder,Items_twistedspoon,Items_passhoberry,Items_absorbbulb,Items_starfberry,Items_roseincense,Items_ejectbutton,Items_cheriberry,Items_lightclay,Items_jabocaberry,Items_apicotberry,Items_bindingband,Items_ejectpack,Items_softsand,Items_gripclaw,Items_luminousmoss,Items_chilanberry,Items_bugmemory,Items_lovesweet,Items_oranberry,Items_miracleseed,Items_utilityumbrella,Items_babiriberry,Items_occaberry,Items_smoothrock,Items_lightball,Items_pixieplate,Items_colburberry,Items_psychicmemory,Items_terrainextender,Items_electricmemory,Items_oddincense,Items_dragonfang,Items_groundmemory,Items_pinapberry,Items_magnet,Items_energypowder,Items_fightingmemory,Items_leafstone,Items_seaincense,Items_persimberry,Items_spelltag,Items_kasibberry,Items_griseousorb,Items_ghostmemory,Items_pokeball,Items_poisonmemory,Items_flyingmemory,Items_hardstone,Items_grepaberry,Items_tr69,Items_netball,Items_rawstberry,Items_deepseascale,Items_snowball,Items_steelmemory,Items_leppaberry,Items_tr68,Items_tr64,Items_tangaberry,Items_masterball,Items_icyrock,Items_diveball,Items_rindoberry,Items_waveincense,Items_fossilizeddrake,Items_bottlecap,Items_loveball,Items_aspearberry,Items_watermemory,Items_friendball,Items_healball,Items_tr43,Items_micleberry,Items_deepseatooth,Items_poweranklet,Items_electirizer,Items_machobrace,Items_hondewberry,Items_repeatball,Items_tr20,Items_firestone,Items_tr02,Items_galaricacuff,Items_powerbelt,Items_powerbracer,Items_fairymemory,Items_cherishball,Items_rustedsword,Items_parkball,Items_powerlens,Items_tamatoberry,Items_dousedrive,Items_dragonmemory,Items_dragonscale,Items_tr55,Items_ultraball,Items_adamantorb,Items_rockmemory,Items_chippedpot,Items_tr89,Items_destinyknot,Items_cloversweet,Items_habanberry,Items_shinystone,Items_tr67,Items_kebiaberry,Items_powerband,Items_kelpsyberry,Items_tr08,Items_grassmemory,Items_leek,Items_nestball,Items_fastball,Items_tr78,Items_tr07,Items_rarebone,Items_waterstone,Items_quickpowder,Items_metalpowder,Items_fossilizedfish,Items_thickclub,Items_rustedshield,Items_blukberry,Items_tr14,Items_souldew,Items_tr00,Items_ovalstone,Items_ribbonsweet,Items_tr41,Items_icememory,Items_chilldrive,Items_icestone,Items_shockdrive,Items_lustrousorb,Items_tr06,Items_pomegberry,Items_magmarizer,Items_tr09,Items_greatball,Items_duskstone,Items_luxuryball,Items_tr17,Items_strawberrysweet,Items_sunstone,Items_upgrade,Items_tr25,Items_burndrive,Items_tr50,Items_sachet,Items_fossilizedbird,Items_moonstone,Items_tr18,Items_moonball,Items_tr91,Items_crackedpot,Items_duskball,Items_flowersweet,Items_premierball,Items_quickball,Items_qualotberry,Items_tr99,Items_tr65,Items_protector,Items_tr94,Items_tr61,Items_tr86,Items_tr36,Items_tr23,Items_tr34,Items_tr72,Items_tr71,Items_tartapple,Items_sweetapple,Items_tr05,Items_tr54,Items_thunderstone,Items_tr83,Items_tr35,Items_tr96,Items_tr38,Items_tr76,Items_dawnstone,Items_tr97,Items_berrysweet,Items_tr37,Items_tr87,Items_tr26,Items_reapercloth,Items_timerball,Items_tr15,Items_tr10,Items_sportball,Items_dubiousdisc,Items_starsweet,Items_safariball,Items_dreamball,Items_tr03,Items_tr39,Items_levelball,Items_tr70,Items_tr24,Items_tr53
Celebi,1485104,7228,0.0,,0.0,,,,0.0001448853,0.0,,0.0712454709,0.0,,0.0,0.0,4.8102e-06,,7.124e-07,0.014214544,0.3300736515,0.1087707985,,0.0,0.0,0.0262155582,1.06e-08,1e-10,0.000648665,0.0,,,8.09721e-05,0.0,0.019642556,,,0.8156277695,,0.0028101341,0.1381437518,3.3e-09,,,,,0.0,5.1481e-06,,,9.06e-08,0.0,,,,1.963e-07,4.44743e-05,,,0.0,,,,,,1.50946e-05,0.0,0.0002691299,,,,,,,1.9602e-06,,,,,,0.0,,,,4.038e-07,,,,0.0,,0.0,2.3662e-06,0.0,,,,,,,0.0,0.0,,,,,2e-10,,0.0,,0.0,,,0.0,,,,,,,,,,,,4e-09,,,0.0,,,,0.7145454263,,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,3.60093e-05,,,0.0013614422,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcanine,1485104,29993,,0.0,0.0,,,0.0,0.0190193165,1.0567e-06,,0.0016823154,3.623e-07,,0.0,,0.0,5.8094e-06,0.05297032,0.1512769536,0.0680117082,0.0027729011,,1.235e-07,1.3e-09,0.0299420471,,0.000297513,0.0,0.0,5.5216e-06,0.0074097887,1.6419899406,7e-10,0.000914872,0.0,,0.176663207,,0.0331373102,0.0,1.2646e-06,0.0,4.12846e-05,0.0,,3e-10,0.0001249731,0.0,,5.2955e-06,,1.696e-07,0.0,,0.0001395485,0.0,,,0.1222406342,0.0,,,0.0012885695,0.0005221147,0.0001313226,,0.0001734154,0.0,,,0.0,,,0.0260481553,,,0.0,,,0.0014316614,,,,,,,,0.0,,,4.41354e-05,,,0.0,,,0.0,,0.0,,3.4e-08,0.0,2.4804e-06,,,1e-10,0.0,,,0.0,,0.0,,,,0.0,0.0,0.0,,,,,,,1.9639e-06,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omastar,1485104,7982,,,,,,,0.0007295998,,,0.740457868,0.0,,,1.282e-07,,0.0,5.5e-09,0.0,0.0015552575,1.1083e-06,,,0.0,0.0015179374,,0.0,,,,,0.0,6.4562910224,0.1568783841,,0.0,0.000891683,,0.0,3.81875e-05,0.0,,,,,,4.11041e-05,,,0.0,,,,,1.91376e-05,,,,,0.0,,,,,0.0,0.0,,,,,,,,2.39e-08,,,,2e-10,,,,,,0.0,,,,0.0761668516,,,,,0.000162678,,,,,,,,,,1.1693e-06,,,,,,,1.01143e-05,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55469e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsola-Galar,1485104,23923,,,,,,,1.40304e-05,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0001262711,,,,,,,3.197e-07,0.0,0.0,,,0.0030525947,,0.0,,,,0.0,,,,7.189e-07,,,3.5585000255,,,,,,,,,,0.0,,,2.2224e-05,,,,,,,,,,,0.0,,,,,,,,,,,,,,6.04024e-05,,,,,,,,,0.0,,,0.0,,,,,,,,1e-10,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7932e-06,7.551e-07,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyukumuku,1485104,10479,,,,,,,5.1785138723,0.0,,2.10414e-05,,0.0,0.0,0.0014203949,0.0,,0.0,,2.48991e-05,0.0009592185,,,0.0001797242,0.5547270973,,,,,,,4.2160722182,,,,,4.5712717084,,8.19324e-05,0.0001147265,0.0,,0.0,,,,6.1915e-06,,,3.67262e-05,,,,,0.0,0.0,,,,0.026181835,,,,0.0,0.0,,0.0,,7e-10,,,0.0,,0.0,,3.9064e-06,,,,,,,,1.365e-07,,,,,,1e-10,0.0005838489,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0013813466,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.2751878318,,,,,7.9e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victini,1485104,65791,,,,,,0.0,2.1522e-06,0.0119674988,,0.1915365541,2.1e-09,5.94e-08,4.7e-09,4e-10,,2.706e-07,4.4593001938,1.0274445647,0.4999246335,0.0,,,0.0,0.0006671519,2.80094e-05,0.0079396049,0.0,1.51911e-05,,0.3883135887,24.1760037828,0.0,0.1511902519,0.0012685176,,0.2942387681,,25.5571923241,1.0752e-05,0.0,,3.32195e-05,0.0,,0.0,0.0002638147,0.0,,2.6584e-06,1.4342970987,0.0045994919,8.16e-07,,0.0004521503,0.0,,0.0,45.4151199621,0.0544087301,0.0245299156,0.0,,,0.0,3.0537e-06,8.495e-07,,,,,,,2.173e-06,,,1.7073e-06,,,0.0,,,,,,,,0.0021719073,,,0.0,,,0.0,,,0.0,,0.0003100743,,5.698e-07,,0.0,,1.5252e-06,0.0,0.0,,,0.002869869,,,,,,0.0003671891,,,,,,,,,0.000635154,0.0,,,,,2.4659e-06,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4162e-06,,,,,,,,,,3.93079e-05,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1.1e-09,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cofagrigus,1485104,8622,,,,,,,0.008597589,,,7.8851e-05,0.0,3.34978e-05,0.0,4.199e-06,2.103e-07,,2.65866e-05,0.0,7.052e-06,0.0011461032,0.0,,2.44659e-05,0.0018490902,0.0,1.669e-07,,5.59e-08,,,0.0,,4.687e-06,0.0,,0.8630847779,,0.0,0.031064782,0.0036961298,,0.0,0.0004355404,,,0.0006469554,,,0.0,,,,,0.0003763275,,,,1.119e-06,6.29e-08,4.3e-09,0.0,,,0.000422568,0.0,1.498e-07,,,,,,,1.2982e-06,,,,0.0,,,,0.0010011342,,0.0,,,,,,0.0,,2e-09,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,0.002239059,,,,,,,,,,,,,,1.0049e-06,0.0197063724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venusaur,1485104,68504,,1.4284e-05,,,,0.0,0.0024154453,0.0,,0.0025680534,,9.75414e-05,0.0003707059,7.74498e-05,2.46136e-05,0.0,0.0542942139,0.0047957863,30.4618913318,0.2274504135,,0.0,0.0,0.0120317218,,0.00568274,0.0,5.236e-07,0.0,9.748e-07,3.1763e-05,0.0023264423,0.0122493356,0.0163127833,,0.1145440408,,0.0492361514,3.15197e-05,2.7321e-06,0.000257079,0.0,0.4627343186,,,0.0233903303,0.0,0.0,1.601e-07,,0.0,7.3958e-06,1.0809048728,0.0003243177,0.0,,0.0,9.0124e-06,0.0004199665,,,0.0,0.0001800275,0.0002761655,0.0,2.2513e-06,,,0.0,,,0.0519313311,1.9607e-06,0.0005349223,,,0.0,,0.003385088,,0.0,,,,,,0.0235323866,,0.0,,0.0015402318,,2.3035e-05,,0.0,0.0,0.0,0.0,0.0043606634,0.0,0.0,,,,,0.0,0.0,1.3371e-06,0.0,0.0,2.29908e-05,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0270292469,,,0.0002292108,,,,,,,,,,,,,,,,,,,,3.1071e-06,,0.0,,,,0.0,,,,,0.0,,0.0,,,,0.0,,,,,,,,,3e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,1.6e-09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6457e-06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnezone,1485104,78327,0.0,,0.0,0.0,6.7246248599,0.0,0.0085588975,0.0,,0.0283200431,,0.0,0.000578255,0.1493942837,0.2444786043,5.8069900629,1.1428523981,2.0674345898,0.0905667018,0.0920266245,,,0.0,8.36028e-05,0.0,0.0001078479,0.0,0.0,,,0.0367191117,,58.8493683338,0.0,,116.7757225293,,4.1222815213,0.0013224515,0.0061368915,0.0001581503,,0.0001821162,,,0.0015143815,,0.0,,,0.0,5.72113e-05,,0.0,0.0087375639,0.0024773128,,3.69121e-05,0.0,,1.6743e-06,3.8e-09,0.0,0.0,0.0295208351,0.0014724798,3e-09,,,,,,1e-10,,,0.1209257688,,,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,0.0,,0.0,,0.0,,0.5319312689,,,,5.329e-07,4e-10,,2.449e-07,,0.0124965042,,,,,,0.0,,,,,2.47151e-05,,,0.0,0.0559078888,,0.0,,,,0.0,0.0,,,,,1.5993117823,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.639e-07,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volcanion,1485104,39545,,,0.0003097286,,,0.0,0.0001330059,1e-10,,3.6104e-06,,,0.1015190339,9.706e-07,,0.0225280584,1.3755766621,4.34763e-05,0.0399547918,1.05265e-05,,0.0,,0.0055867302,0.000394689,0.0020070189,0.0014291159,0.0,0.0,0.0004388451,5.7020815605,0.0147604365,25.3105295155,5.34e-08,,1.1043386283,,0.7840089343,,0.0005112467,,0.0,6.1899e-06,,,2.69844e-05,0.0,,0.0,,0.2644654601,1.3092e-06,0.0,0.0001801251,0.0015248049,,,4.61398e-05,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,,,,,,,,5e-10,,,0.0,,0.0004942541,,,,,,,,5.9e-08,,0.0266835114,,,,3.0648e-06,,,,,,,0.0,,,0.0,0.007567633,,,,,,,0.0,6.89582e-05,,0.0,,,,,0.0,,,0.0,,,,,0.0,,2.1992e-06,,,,,,,,,,,,,,,,,,,,,,,,,9.61357e-05,,,,,0.0,,,,0.0,0.0,,,,,,,9e-10,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhyperior,1485104,30570,,,,,0.009368427,,0.0004152897,0.0,,0.0148910705,,,0.0,6.606e-07,,5.202e-07,1.0092015809,0.0065196941,1.1197550134,0.5036024744,,,0.0,0.0060434958,0.0004428125,0.1856283964,0.0028732369,1.85009e-05,0.0,,0.000133089,1.43e-08,0.0,0.0,0.0,48.0378540122,0.0,1e-10,9.8507e-06,0.0001706709,,,,,,2.74118e-05,,,,,0.0004157174,1.652e-07,,0.0,0.0006559548,,,1.952436466,0.6706724753,0.0,,,,0.0,0.0186663727,0.0003375157,,,,,0.0,0.0,5e-10,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,0.0,0.0,,0.0,,0.0,,,0.0004448686,2.055e-07,,,,,,,,,,21.0446075697,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.489e-07,0.0,,,0.0,,,,,,,,,,,0.2690253315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latios,1485104,167520,0.0,6.263e-07,,,,,0.0049216229,0.0,,0.0531459035,4e-10,3.9e-09,0.0131895273,2.76e-08,0.0,0.0,0.150108674,1.3575004665,36.2198010575,0.0002223536,1.2e-09,,0.0003759489,0.0021089439,0.0,0.4784416736,0.0,0.0,6.47e-08,,0.0755804091,0.0,51.8065704465,0.0025044561,,0.6843183867,0.0,36.007991777,3.45198e-05,5.129e-06,0.000968294,1.4272e-06,0.0001391646,,,0.0072602666,1.37243e-05,0.0,7.62e-08,0.0807343533,0.0,,,3.06618e-05,1.03408e-05,,,0.003030315,0.0059133538,,0.0,,0.0023316615,1e-10,,0.0006228775,,,,0.0,,,0.0,,,0.0,,0.0,7.26706e-05,0.0,0.0,1.4e-09,0.0023172619,,0.0,,0.0170032195,,0.0,0.0011037724,0.0,,,0.0,,0.0001644763,,0.0,,,,,,5.14e-08,,0.0,0.0,,0.0393268638,,0.0871497347,,0.0,,0.1055126738,0.0,,,,,,,,,,,,0.0,,3.868e-07,5.2492e-06,0.0,,0.0,9.8253e-06,,,,,,0.0,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,6.269e-07,,,,,0.0,,,,,1.15345e-05,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,3.13e-07,,,,,,,,,,,,,,,,,,,,,,10.3856406673,,,,,,,,,,,,,,0.0,,,,,,,4.2e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapu Bulu,1485104,31793,,,,,,,0.1059072711,1.35e-08,,0.0001473605,0.0,0.0,0.0,,0.0420172416,0.0006930272,0.1090813628,0.0217616773,19.3291168788,6.518e-06,,,0.0,1.72201e-05,,0.0004373496,,0.0,0.0,,0.5980846683,0.0,1.11086e-05,0.0,,13.6512905521,,1.0167809604,9e-10,1.3e-09,,0.0007597079,,,1.11e-08,0.0002232277,,,0.0,,0.0,0.0,,4.4389e-06,0.08001656,,,4.0480138672,4.7877e-06,0.0,,,0.0001723006,6.8319e-06,,8e-10,,,,0.0,,,0.0230318468,,,0.0,,,0.0007336399,,,,,,,,,,3e-10,0.0,0.0,,,,,0.0,,2.6885e-06,5.6e-08,,0.8123949953,,,1.0351e-06,,6.2e-09,0.0,0.0,0.0385475765,,0.0080949786,,,,0.0,,,,,,,,0.0006251744,,0.0014791058,2.4096e-06,,,0.0,,,0.5357638924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004250959,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incineroar,1485104,34202,,0.0004442338,,,2.497e-07,5.66e-07,0.0036150844,0.0078903178,,0.0006049124,0.0,,3.19674e-05,0.0,0.0,4.86814e-05,1.0380070449,0.0364737418,0.0131358662,0.0319379073,,,0.0003418358,0.0123165696,0.0020834885,0.0224183459,0.0,7.27e-08,1.5207e-06,5.46896e-05,7.7373245897,0.0,0.0046312079,1.2538e-05,,0.0554879451,0.0,0.0544057875,1.54e-08,0.0011767829,,0.0,,,0.0,0.0083524444,,0.0,0.0,,0.0,,,0.0009440597,0.0001742432,1e-10,,0.1635581534,0.0041078638,,,,0.0,4.05483e-05,,0.0,2.24957e-05,,0.0,0.0,,,0.1203688302,,,0.0001595972,,,3.172e-07,,,,,5.3899e-05,,,0.0,,0.0,5.09037e-05,,,5.95e-07,,,0.0,,0.0231003404,2e-10,0.0,,3.45589e-05,0.0,,0.0,0.0,0.0,,1.8e-09,,,,,,7.728e-07,,4.47e-08,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.446e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moltres-Galar,1485104,39646,0.2671620691,0.001912778,1.27e-08,,,0.0,0.0008301391,0.0,,0.0587776988,9.4003e-06,0.0,0.0005049928,1.2042577285,0.0025455438,0.0,0.0628775055,0.0118960673,0.2939910517,0.018659179,,,0.0,0.0061991925,,3.9523250984,0.0,0.0032112165,0.0016148485,9.8647e-06,70.38102324,1.4e-09,0.059846142,0.0073944282,,2.0452797562,0.0,0.7197994671,0.0,0.0,0.0,0.0,2.04e-08,,,6.38695e-05,,0.0,0.0,,2.32e-08,,,0.014140422,0.0009220869,,,5.47264e-05,0.0005887154,0.0,,0.001528427,0.0,0.1337569535,0.0,0.0979254118,,0.0,,,,,2.87e-08,,,,,4.79e-08,,,0.0,0.0022933208,,1.373e-07,,,,,0.0,3.6e-09,,,1.62754e-05,,,5.62013e-05,,0.0,,0.0,,,,,,,0.0,,,6.6e-09,,,,,,,,,,,,0.0,,3.132e-07,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Araquanid,1485104,20484,,,6e-10,,,,0.0002720562,3.45832e-05,,0.0804922225,,,1e-10,1.7734e-06,,,0.1854084325,0.0110468438,0.0053491761,0.1194001161,0.0002285082,,4.7034e-06,0.0063832639,0.0,6.51109e-05,0.0,9.14347e-05,,,0.8340536576,,0.0,,,0.6143173206,,1.42871e-05,2.72193e-05,0.0,,0.0,,,,3.417e-06,,,,,0.003225896,,,4.73294e-05,,,,0.4461551961,1.4115e-06,,,0.0,3e-08,0.0,0.0,0.0,,0.0,,,,,0.1392763682,,,,,,0.0,,0.0,,5.3e-09,,0.0,,,,0.0,,,0.0025266893,4.6585e-06,,,,,0.0,1e-10,0.0,3.234e-07,,0.0,,,5.95214e-05,,,1.0129e-06,,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,2.019e-07,,,,,,,,,,1.3e-08,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moltres,1485104,164174,3.8e-09,,,,,0.000588449,0.2785202139,7.27439e-05,,0.0003520887,0.0001491491,0.0,0.0003332595,0.0,0.0,0.0,0.0032668704,0.0115922926,0.0183319361,0.0117688968,,,0.0,0.0044944987,0.0,1.217e-06,0.0,0.0,0.0,0.0003942759,128.1930591991,0.002452856,0.2013275192,0.0059206623,,0.9396812004,,0.079907873,0.0,0.0,0.0,0.0005515935,0.0001034572,,,0.0001166845,,0.0,0.0,9.634e-07,0.0,5.626e-06,,2.218e-06,7e-10,0.0,,0.0035475794,0.0,,,,0.0,3.68794e-05,0.0,0.0002945969,,3.53749e-05,,,,,8.108e-06,,,,,,3.07e-08,0.0,0.0,9.925e-07,0.0,,,0.0,0.0,,,0.0007686391,,,0.0002532241,,,0.0,0.0003268505,,,,,,2.12391e-05,,5.1707e-06,3.31582e-05,,,0.0,,,,,0.0,1.57e-08,0.0,,,,,,2.991e-06,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6.8251e-06,,,,,,,,,,,0.0,,,,,,,,,,5.6548e-06,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,3.3e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloyster,1485104,67807,,0.0,0.0,,0.0002136121,,0.0214512011,9.1e-09,,5.7313255418,0.0,0.0,5.19359e-05,3.3262e-06,4.87442e-05,0.0,0.002327836,0.016676103,0.0200258152,7.42317e-05,,,0.0001402247,0.005162038,,0.0010206687,0.000144147,67.0416725368,0.0,,0.2065896659,1.59e-08,0.0,0.0,0.0074849541,0.0099760953,,0.6270921033,2.736e-06,1.04e-08,,,2.405e-07,,0.0,0.0142849449,,0.0,1.59e-08,,0.0034059169,0.0,,0.0001439592,1.109e-07,,,0.0980931695,2.1432e-05,,,2.5e-09,0.0,1.288e-07,5.1e-09,0.0,0.0073379355,0.0,,,,,0.0002315137,,,,,,,,,,0.0005850324,,,,0.7190917391,,,0.0,,0.0026049608,,,,,,0.0,0.0,5.5547e-06,,,,,,,,,,,2.1e-09,,,0.0,2.2035e-06,,4e-10,,,,,,,,0.0,,,,,,,,,,,,,,,,,2e-09,,,0.0,,,,,,0.0,,,,,,,,,,,,,1.10126e-05,,0.0,1.9e-09,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2607e-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
